expCountry,concept,color,weight,se,hex,barStroke
mdg,sick,LR,0.292,0.046,#fc9fa3,#fc9fa3
mdg,sick,LY,0.236,0.041,#fff498,#fff498
mdg,sick,MB,0.359,0.046,#7196c0,#7196c0
mdg,sick,MC,0.376,0.045,#65acac,#65acac
mdg,sick,MG,0.348,0.048,#62ae88,#62ae88
mdg,sick,MH,0.357,0.047,#a0b668,#a0b668
mdg,sick,MO,0.264,0.041,#ce916c,#ce916c
mdg,sick,MP,0.402,0.054,#a66fbd,#a66fbd
mdg,sick,MR,0.344,0.053,#c5666b,#c5666b
mdg,sick,MY,0.278,0.041,#dab572,#dab572
mdg,sick,SB,0.274,0.045,#4fa7ef,#4fa7ef
mdg,sick,SC,0.306,0.047,#27d1cd,#27d1cd
mdg,sick,SG,0.264,0.046,#04c981,#04c981
mdg,sick,SH,0.219,0.04,#bde638,#bde638
mdg,sick,SO,0.137,0.026,#f89e2d,#f89e2d
mdg,sick,SP,0.36,0.054,#b740da,#b740da
mdg,sick,SR,0.326,0.05,#f03a52,#f03a52
mdg,sick,SY,0.181,0.033,#fff329,#fff329
mdg,sick,WH,0.466,0.057,#ffffff,#000000
mdg,tree,A1,0.218,0.041,#656168,#656168
mdg,tree,A2,0.253,0.047,#9d97a0,#9d97a0
mdg,tree,A3,0.171,0.031,#d8cfdb,#d8cfdb
mdg,tree,BK,0.254,0.044,#323033,#323033
mdg,tree,DB,0.182,0.036,#386089,#386089
mdg,tree,DC,0.313,0.046,#297375,#297375
mdg,tree,DG,0.742,0.044,#21704f,#21704f
mdg,tree,DH,0.561,0.049,#677f35,#677f35
mdg,tree,DO,0.38,0.051,#864d2b,#864d2b
mdg,tree,DP,0.085,0.021,#723484,#723484
mdg,tree,DR,0.166,0.033,#8a2b38,#8a2b38
mdg,tree,DY,0.362,0.047,#8a7527,#8a7527
mdg,tree,LB,0.266,0.045,#aacffb,#aacffb
mdg,tree,LC,0.299,0.048,#9de5e4,#9de5e4
mdg,tree,LG,0.515,0.049,#95e2b8,#95e2b8
mdg,tree,LH,0.326,0.043,#dbf099,#dbf099
mdg,tree,LO,0.285,0.043,#fbc9a3,#fbc9a3
mdg,tree,LP,0.181,0.036,#dfa7fa,#dfa7fa
mdg,tree,LR,0.193,0.035,#fc9fa3,#fc9fa3
mdg,tree,LY,0.222,0.038,#fff498,#fff498
mdg,tree,MB,0.187,0.033,#7196c0,#7196c0
mdg,tree,MC,0.266,0.042,#65acac,#65acac
mdg,tree,MG,0.691,0.043,#62ae88,#62ae88
mdg,tree,MH,0.429,0.05,#a0b668,#a0b668
mdg,tree,MO,0.26,0.044,#ce916c,#ce916c
mdg,tree,MP,0.151,0.028,#a66fbd,#a66fbd
mdg,tree,MR,0.199,0.037,#c5666b,#c5666b
mdg,tree,MY,0.327,0.044,#dab572,#dab572
mdg,tree,SB,0.197,0.037,#4fa7ef,#4fa7ef
mdg,tree,SC,0.165,0.034,#27d1cd,#27d1cd
mdg,tree,SG,0.702,0.05,#04c981,#04c981
mdg,tree,SH,0.412,0.048,#bde638,#bde638
mdg,tree,SO,0.226,0.04,#f89e2d,#f89e2d
mdg,tree,SP,0.172,0.039,#b740da,#b740da
mdg,tree,SR,0.175,0.036,#f03a52,#f03a52
mdg,tree,SY,0.27,0.043,#fff329,#fff329
mdg,tree,WH,0.157,0.035,#ffffff,#000000
