conA,conB,col1,col2,x1_mg,x2_mg,x3_mg,x4_mg,dX_mg,p_gt0_mg,dS_mg,x1_us,x2_us,x3_us,x4_us,dX_us,p_gt0_us,dS_us
angry,banana,A1,A2,0.3566,0.346,0.1342,0.179,0.0554,0.5384,0.0769,0.3736,0.3438,0.0524,0.0712,0.0486,0.5418,0.0836
angry,death,A1,A2,0.3566,0.346,0.7284,0.5956,-0.1222,0.4298,0.1405,0.3736,0.3438,0.775,0.6698,-0.0754,0.4495,0.1011
angry,happy,A1,A2,0.3566,0.346,0.199,0.241,0.0526,0.5337,0.0675,0.3736,0.3438,0.1012,0.1154,0.044,0.536,0.072
angry,justice,A1,A2,0.3566,0.346,0.2456,0.392,0.157,0.5913,0.1826,0.3736,0.3438,0.302,0.333,0.0608,0.5393,0.0786
angry,lightning,A1,A2,0.3566,0.346,0.322,0.4078,0.0964,0.5543,0.1087,0.3736,0.3438,0.3756,0.3102,-0.0356,0.4774,0.0453
angry,mango,A1,A2,0.3566,0.346,0.118,0.1832,0.0758,0.5529,0.1058,0.3736,0.3438,0.0426,0.0432,0.0304,0.5266,0.0532
angry,peace,A1,A2,0.3566,0.346,0.2756,0.2918,0.0268,0.5161,0.0322,0.3736,0.3438,0.1886,0.2364,0.0776,0.5556,0.1112
angry,peach,A1,A2,0.3566,0.346,0.243,0.215,-0.0174,0.4889,0.0221,0.3736,0.3438,0.0288,0.0424,0.0434,0.5381,0.0762
angry,sad,A1,A2,0.3566,0.346,0.6488,0.621,-0.0172,0.4903,0.0194,0.3736,0.3438,0.7964,0.7026,-0.064,0.4559,0.0881
angry,safety,A1,A2,0.3566,0.346,0.3688,0.223,-0.1352,0.4198,0.1604,0.3736,0.3438,0.223,0.2158,0.0226,0.5161,0.0322
angry,sandstorm,A1,A2,0.3566,0.346,0.4604,0.5138,0.064,0.5347,0.0694,0.3736,0.3438,0.3454,0.4254,0.1098,0.5679,0.1358
angry,sick,A1,A2,0.3566,0.346,0.5234,0.5204,0.0076,0.5041,0.0082,0.3736,0.3438,0.4512,0.4422,0.0208,0.5126,0.0252
angry,tree,A1,A2,0.3566,0.346,0.2184,0.2534,0.0456,0.5287,0.0575,0.3736,0.3438,0.0992,0.0934,0.024,0.52,0.0399
banana,death,A1,A2,0.1342,0.179,0.7284,0.5956,-0.1776,0.3756,0.2488,0.0524,0.0712,0.775,0.6698,-0.124,0.3798,0.2405
banana,happy,A1,A2,0.1342,0.179,0.199,0.241,-0.0028,0.4976,0.0047,0.0524,0.0712,0.1012,0.1154,-0.0046,0.4917,0.0166
banana,justice,A1,A2,0.1342,0.179,0.2456,0.392,0.1016,0.5737,0.1473,0.0524,0.0712,0.302,0.333,0.0122,0.5111,0.0222
banana,lightning,A1,A2,0.1342,0.179,0.322,0.4078,0.041,0.5283,0.0565,0.0524,0.0712,0.3756,0.3102,-0.0842,0.4262,0.1475
banana,mango,A1,A2,0.1342,0.179,0.118,0.1832,0.0204,0.5202,0.0404,0.0524,0.0712,0.0426,0.0432,-0.0182,0.4481,0.1038
banana,peace,A1,A2,0.1342,0.179,0.2756,0.2918,-0.0286,0.4784,0.0432,0.0524,0.0712,0.1886,0.2364,0.029,0.5334,0.0668
banana,peach,A1,A2,0.1342,0.179,0.243,0.215,-0.0728,0.4398,0.1204,0.0524,0.0712,0.0288,0.0424,-0.0052,0.4844,0.0312
banana,sad,A1,A2,0.1342,0.179,0.6488,0.621,-0.0726,0.4503,0.0994,0.0524,0.0712,0.7964,0.7026,-0.1126,0.3842,0.2316
banana,safety,A1,A2,0.1342,0.179,0.3688,0.223,-0.1906,0.3601,0.2799,0.0524,0.0712,0.223,0.2158,-0.026,0.4707,0.0587
banana,sandstorm,A1,A2,0.1342,0.179,0.4604,0.5138,0.0086,0.5056,0.0112,0.0524,0.0712,0.3454,0.4254,0.0612,0.5514,0.1028
banana,sick,A1,A2,0.1342,0.179,0.5234,0.5204,-0.0478,0.469,0.0619,0.0524,0.0712,0.4512,0.4422,-0.0278,0.4776,0.0447
banana,tree,A1,A2,0.1342,0.179,0.2184,0.2534,-0.0098,0.492,0.0161,0.0524,0.0712,0.0992,0.0934,-0.0246,0.4522,0.0957
death,happy,A1,A2,0.7284,0.5956,0.199,0.241,0.1748,0.6131,0.2262,0.775,0.6698,0.1012,0.1154,0.1194,0.6089,0.2177
death,justice,A1,A2,0.7284,0.5956,0.2456,0.392,0.2792,0.662,0.3239,0.775,0.6698,0.302,0.333,0.1362,0.5938,0.1875
death,lightning,A1,A2,0.7284,0.5956,0.322,0.4078,0.2186,0.6236,0.2472,0.775,0.6698,0.3756,0.3102,0.0398,0.5271,0.0542
death,mango,A1,A2,0.7284,0.5956,0.118,0.1832,0.198,0.6391,0.2782,0.775,0.6698,0.0426,0.0432,0.1058,0.6051,0.2102
death,peace,A1,A2,0.7284,0.5956,0.2756,0.2918,0.149,0.5903,0.1805,0.775,0.6698,0.1886,0.2364,0.153,0.6184,0.2369
death,peach,A1,A2,0.7284,0.5956,0.243,0.215,0.1048,0.5677,0.1353,0.775,0.6698,0.0288,0.0424,0.1188,0.6183,0.2366
death,sad,A1,A2,0.7284,0.5956,0.6488,0.621,0.105,0.5599,0.1199,0.775,0.6698,0.7964,0.7026,0.0114,0.5085,0.0171
death,safety,A1,A2,0.7284,0.5956,0.3688,0.223,-0.013,0.4921,0.0158,0.775,0.6698,0.223,0.2158,0.098,0.5758,0.1516
death,sandstorm,A1,A2,0.7284,0.5956,0.4604,0.5138,0.1862,0.6014,0.2028,0.775,0.6698,0.3454,0.4254,0.1852,0.6209,0.2417
death,sick,A1,A2,0.7284,0.5956,0.5234,0.5204,0.1298,0.571,0.1421,0.775,0.6698,0.4512,0.4422,0.0962,0.5617,0.1234
death,tree,A1,A2,0.7284,0.5956,0.2184,0.2534,0.1678,0.6067,0.2133,0.775,0.6698,0.0992,0.0934,0.0994,0.5926,0.1853
happy,justice,A1,A2,0.199,0.241,0.2456,0.392,0.1044,0.5695,0.139,0.1012,0.1154,0.302,0.333,0.0168,0.5145,0.029
happy,lightning,A1,A2,0.199,0.241,0.322,0.4078,0.0438,0.5279,0.0558,0.1012,0.1154,0.3756,0.3102,-0.0796,0.4337,0.1325
happy,mango,A1,A2,0.199,0.241,0.118,0.1832,0.0232,0.5198,0.0396,0.1012,0.1154,0.0426,0.0432,-0.0136,0.4736,0.0529
happy,peace,A1,A2,0.199,0.241,0.2756,0.2918,-0.0258,0.4822,0.0355,0.1012,0.1154,0.1886,0.2364,0.0336,0.5355,0.071
happy,peach,A1,A2,0.199,0.241,0.243,0.215,-0.07,0.4481,0.1039,0.1012,0.1154,0.0288,0.0424,-6.00E-04,0.4988,0.0024
happy,sad,A1,A2,0.199,0.241,0.6488,0.621,-0.0698,0.4557,0.0885,0.1012,0.1154,0.7964,0.7026,-0.108,0.3963,0.2073
happy,safety,A1,A2,0.199,0.241,0.3688,0.223,-0.1878,0.3736,0.2528,0.1012,0.1154,0.223,0.2158,-0.0214,0.4778,0.0445
happy,sandstorm,A1,A2,0.199,0.241,0.4604,0.5138,0.0114,0.5069,0.0138,0.1012,0.1154,0.3454,0.4254,0.0658,0.5527,0.1054
happy,sick,A1,A2,0.199,0.241,0.5234,0.5204,-0.045,0.4728,0.0544,0.1012,0.1154,0.4512,0.4422,-0.0232,0.4821,0.0357
happy,tree,A1,A2,0.199,0.241,0.2184,0.2534,-0.007,0.4948,0.0103,0.1012,0.1154,0.0992,0.0934,-0.02,0.4686,0.0628
justice,lightning,A1,A2,0.2456,0.392,0.322,0.4078,-0.0606,0.4647,0.0706,0.302,0.333,0.3756,0.3102,-0.0964,0.4371,0.1258
justice,mango,A1,A2,0.2456,0.392,0.118,0.1832,-0.0812,0.4406,0.1189,0.302,0.333,0.0426,0.0432,-0.0304,0.4718,0.0563
justice,peace,A1,A2,0.2456,0.392,0.2756,0.2918,-0.1302,0.4196,0.1608,0.302,0.333,0.1886,0.2364,0.0168,0.5125,0.0251
justice,peach,A1,A2,0.2456,0.392,0.243,0.215,-0.1744,0.3863,0.2275,0.302,0.333,0.0288,0.0424,-0.0174,0.4838,0.0324
justice,sad,A1,A2,0.2456,0.392,0.6488,0.621,-0.1742,0.3998,0.2004,0.302,0.333,0.7964,0.7026,-0.1248,0.4116,0.1769
justice,safety,A1,A2,0.2456,0.392,0.3688,0.223,-0.2922,0.3252,0.3495,0.302,0.333,0.223,0.2158,-0.0382,0.4717,0.0565
justice,sandstorm,A1,A2,0.2456,0.392,0.4604,0.5138,-0.093,0.4482,0.1036,0.302,0.333,0.3454,0.4254,0.049,0.5313,0.0626
justice,sick,A1,A2,0.2456,0.392,0.5234,0.5204,-0.1494,0.4173,0.1655,0.302,0.333,0.4512,0.4422,-0.04,0.4751,0.0497
justice,tree,A1,A2,0.2456,0.392,0.2184,0.2534,-0.1114,0.4274,0.1453,0.302,0.333,0.0992,0.0934,-0.0368,0.4678,0.0644
lightning,mango,A1,A2,0.322,0.4078,0.118,0.1832,-0.0206,0.4857,0.0286,0.3756,0.3102,0.0426,0.0432,0.066,0.5589,0.1178
lightning,peace,A1,A2,0.322,0.4078,0.2756,0.2918,-0.0696,0.4586,0.0829,0.3756,0.3102,0.1886,0.2364,0.1132,0.5821,0.1641
lightning,peach,A1,A2,0.322,0.4078,0.243,0.215,-0.1138,0.4285,0.1429,0.3756,0.3102,0.0288,0.0424,0.079,0.5707,0.1414
lightning,sad,A1,A2,0.322,0.4078,0.6488,0.621,-0.1136,0.4365,0.1269,0.3756,0.3102,0.7964,0.7026,-0.0284,0.4801,0.0397
lightning,safety,A1,A2,0.322,0.4078,0.3688,0.223,-0.2316,0.3651,0.2698,0.3756,0.3102,0.223,0.2158,0.0582,0.5421,0.0841
lightning,sandstorm,A1,A2,0.322,0.4078,0.4604,0.5138,-0.0324,0.4825,0.035,0.3756,0.3102,0.3454,0.4254,0.1454,0.5906,0.1811
lightning,sick,A1,A2,0.322,0.4078,0.5234,0.5204,-0.0888,0.4522,0.0956,0.3756,0.3102,0.4512,0.4422,0.0564,0.5345,0.069
lightning,tree,A1,A2,0.322,0.4078,0.2184,0.2534,-0.0508,0.4682,0.0636,0.3756,0.3102,0.0992,0.0934,0.0596,0.5505,0.1009
mango,peace,A1,A2,0.118,0.1832,0.2756,0.2918,-0.049,0.4628,0.0745,0.0426,0.0432,0.1886,0.2364,0.0472,0.5558,0.1116
mango,peach,A1,A2,0.118,0.1832,0.243,0.215,-0.0932,0.4224,0.1552,0.0426,0.0432,0.0288,0.0424,0.013,0.5492,0.0984
mango,sad,A1,A2,0.118,0.1832,0.6488,0.621,-0.093,0.436,0.128,0.0426,0.0432,0.7964,0.7026,-0.0944,0.4003,0.1994
mango,safety,A1,A2,0.118,0.1832,0.3688,0.223,-0.211,0.3446,0.3107,0.0426,0.0432,0.223,0.2158,-0.0078,0.4909,0.0181
mango,sandstorm,A1,A2,0.118,0.1832,0.4604,0.5138,-0.0118,0.4923,0.0154,0.0426,0.0432,0.3454,0.4254,0.0794,0.5676,0.1352
mango,sick,A1,A2,0.118,0.1832,0.5234,0.5204,-0.0682,0.4556,0.0888,0.0426,0.0432,0.4512,0.4422,-0.0096,0.4922,0.0157
mango,tree,A1,A2,0.118,0.1832,0.2184,0.2534,-0.0302,0.475,0.0499,0.0426,0.0432,0.0992,0.0934,-0.0064,0.4864,0.0272
peace,peach,A1,A2,0.2756,0.2918,0.243,0.215,-0.0442,0.4699,0.0601,0.1886,0.2364,0.0288,0.0424,-0.0342,0.4592,0.0817
peace,sad,A1,A2,0.2756,0.2918,0.6488,0.621,-0.044,0.4739,0.0523,0.1886,0.2364,0.7964,0.7026,-0.1416,0.3862,0.2275
peace,safety,A1,A2,0.2756,0.2918,0.3688,0.223,-0.162,0.3984,0.2033,0.1886,0.2364,0.223,0.2158,-0.055,0.4532,0.0937
peace,sandstorm,A1,A2,0.2756,0.2918,0.4604,0.5138,0.0372,0.5212,0.0424,0.1886,0.2364,0.3454,0.4254,0.0322,0.5228,0.0455
peace,sick,A1,A2,0.2756,0.2918,0.5234,0.5204,-0.0192,0.4891,0.0219,0.1886,0.2364,0.4512,0.4422,-0.0568,0.4612,0.0777
peace,tree,A1,A2,0.2756,0.2918,0.2184,0.2534,0.0188,0.5127,0.0254,0.1886,0.2364,0.0992,0.0934,-0.0536,0.4421,0.1158
peach,sad,A1,A2,0.243,0.215,0.6488,0.621,2e-4,0.5001,3e-4,0.0288,0.0424,0.7964,0.7026,-0.1074,0.3862,0.2276
peach,safety,A1,A2,0.243,0.215,0.3688,0.223,-0.1178,0.4208,0.1584,0.0288,0.0424,0.223,0.2158,-0.0208,0.4757,0.0486
peach,sandstorm,A1,A2,0.243,0.215,0.4604,0.5138,0.0814,0.5487,0.0974,0.0288,0.0424,0.3454,0.4254,0.0664,0.5568,0.1137
peach,sick,A1,A2,0.243,0.215,0.5234,0.5204,0.025,0.515,0.03,0.0288,0.0424,0.4512,0.4422,-0.0226,0.4815,0.037
peach,tree,A1,A2,0.243,0.215,0.2184,0.2534,0.063,0.5457,0.0913,0.0288,0.0424,0.0992,0.0934,-0.0194,0.4578,0.0844
sad,safety,A1,A2,0.6488,0.621,0.3688,0.223,-0.118,0.4305,0.139,0.7964,0.7026,0.223,0.2158,0.0866,0.5695,0.1389
sad,sandstorm,A1,A2,0.6488,0.621,0.4604,0.5138,0.0812,0.5436,0.0873,0.7964,0.7026,0.3454,0.4254,0.1738,0.6165,0.2329
sad,sick,A1,A2,0.6488,0.621,0.5234,0.5204,0.0248,0.5133,0.0267,0.7964,0.7026,0.4512,0.4422,0.0848,0.5557,0.1115
sad,tree,A1,A2,0.6488,0.621,0.2184,0.2534,0.0628,0.5391,0.0783,0.7964,0.7026,0.0992,0.0934,0.088,0.5865,0.173
safety,sandstorm,A1,A2,0.3688,0.223,0.4604,0.5138,0.1992,0.6116,0.2231,0.223,0.2158,0.3454,0.4254,0.0872,0.561,0.122
safety,sick,A1,A2,0.3688,0.223,0.5234,0.5204,0.1428,0.5804,0.1608,0.223,0.2158,0.4512,0.4422,-0.0018,0.4988,0.0024
safety,tree,A1,A2,0.3688,0.223,0.2184,0.2534,0.1808,0.6194,0.2389,0.223,0.2158,0.0992,0.0934,0.0014,0.5015,0.003
sandstorm,sick,A1,A2,0.4604,0.5138,0.5234,0.5204,-0.0564,0.4707,0.0585,0.3454,0.4254,0.4512,0.4422,-0.089,0.4469,0.1063
sandstorm,tree,A1,A2,0.4604,0.5138,0.2184,0.2534,-0.0184,0.489,0.0219,0.3454,0.4254,0.0992,0.0934,-0.0858,0.4305,0.139
sick,tree,A1,A2,0.5234,0.5204,0.2184,0.2534,0.038,0.5226,0.0452,0.4512,0.4422,0.0992,0.0934,0.0032,0.5025,0.005
angry,banana,A1,A3,0.3566,0.2608,0.1342,0.187,0.1486,0.607,0.2139,0.3736,0.1376,0.0524,0.0678,0.2514,0.7466,0.4932
angry,death,A1,A3,0.3566,0.2608,0.7284,0.424,-0.2086,0.3776,0.2449,0.3736,0.1376,0.775,0.4332,-0.1058,0.4239,0.1522
angry,happy,A1,A3,0.3566,0.2608,0.199,0.5554,0.4522,0.7579,0.5158,0.3736,0.1376,0.1012,0.3008,0.4356,0.8176,0.6351
angry,justice,A1,A3,0.3566,0.2608,0.2456,0.69,0.5402,0.8026,0.6053,0.3736,0.1376,0.302,0.4376,0.3716,0.7408,0.4816
angry,lightning,A1,A3,0.3566,0.2608,0.322,0.4028,0.1766,0.6024,0.2047,0.3736,0.1376,0.3756,0.51,0.3704,0.733,0.466
angry,mango,A1,A3,0.3566,0.2608,0.118,0.1944,0.1722,0.624,0.248,0.3736,0.1376,0.0426,0.0602,0.2536,0.7508,0.5015
angry,peace,A1,A3,0.3566,0.2608,0.2756,0.7084,0.5286,0.7958,0.5917,0.3736,0.1376,0.1886,0.5726,0.62,0.8753,0.7506
angry,peach,A1,A3,0.3566,0.2608,0.243,0.23,0.0828,0.5543,0.1086,0.3736,0.1376,0.0288,0.0976,0.3048,0.7864,0.5728
angry,sad,A1,A3,0.3566,0.2608,0.6488,0.4436,-0.1094,0.4373,0.1254,0.3736,0.1376,0.7964,0.4174,-0.143,0.396,0.2081
angry,safety,A1,A3,0.3566,0.2608,0.3688,0.4706,0.1976,0.6113,0.2226,0.3736,0.1376,0.223,0.3274,0.3404,0.7397,0.4795
angry,sandstorm,A1,A3,0.3566,0.2608,0.4604,0.3534,-0.0112,0.4936,0.0129,0.3736,0.1376,0.3454,0.3636,0.2542,0.6708,0.3417
angry,sick,A1,A3,0.3566,0.2608,0.5234,0.4454,0.0178,0.51,0.02,0.3736,0.1376,0.4512,0.242,0.0268,0.5191,0.0383
angry,tree,A1,A3,0.3566,0.2608,0.2184,0.1714,0.0488,0.5339,0.0677,0.3736,0.1376,0.0992,0.1328,0.2696,0.7424,0.4849
banana,death,A1,A3,0.1342,0.187,0.7284,0.424,-0.3572,0.2642,0.4715,0.0524,0.0678,0.775,0.4332,-0.3572,0.2032,0.5937
banana,happy,A1,A3,0.1342,0.187,0.199,0.5554,0.3036,0.713,0.426,0.0524,0.0678,0.1012,0.3008,0.1842,0.7087,0.4175
banana,justice,A1,A3,0.1342,0.187,0.2456,0.69,0.3916,0.7717,0.5434,0.0524,0.0678,0.302,0.4376,0.1202,0.6029,0.2058
banana,lightning,A1,A3,0.1342,0.187,0.322,0.4028,0.028,0.5192,0.0385,0.0524,0.0678,0.3756,0.51,0.119,0.5968,0.1935
banana,mango,A1,A3,0.1342,0.187,0.118,0.1944,0.0236,0.5228,0.0456,0.0524,0.0678,0.0426,0.0602,0.0022,0.506,0.012
banana,peace,A1,A3,0.1342,0.187,0.2756,0.7084,0.38,0.7627,0.5253,0.0524,0.0678,0.1886,0.5726,0.3686,0.8137,0.6273
banana,peach,A1,A3,0.1342,0.187,0.243,0.23,-0.0658,0.4467,0.1065,0.0524,0.0678,0.0288,0.0976,0.0534,0.624,0.248
banana,sad,A1,A3,0.1342,0.187,0.6488,0.4436,-0.258,0.3324,0.3352,0.0524,0.0678,0.7964,0.4174,-0.3944,0.1729,0.6542
banana,safety,A1,A3,0.1342,0.187,0.3688,0.4706,0.049,0.5324,0.0649,0.0524,0.0678,0.223,0.3274,0.089,0.5875,0.1751
banana,sandstorm,A1,A3,0.1342,0.187,0.4604,0.3534,-0.1598,0.3946,0.2109,0.0524,0.0678,0.3454,0.3636,0.0028,0.5024,0.0049
banana,sick,A1,A3,0.1342,0.187,0.5234,0.4454,-0.1308,0.4159,0.1682,0.0524,0.0678,0.4512,0.242,-0.2246,0.3047,0.3907
banana,tree,A1,A3,0.1342,0.187,0.2184,0.1714,-0.0998,0.4125,0.175,0.0524,0.0678,0.0992,0.1328,0.0182,0.5316,0.0632
death,happy,A1,A3,0.7284,0.424,0.199,0.5554,0.6608,0.8407,0.6813,0.775,0.4332,0.1012,0.3008,0.5414,0.8501,0.7001
death,justice,A1,A3,0.7284,0.424,0.2456,0.69,0.7488,0.8749,0.7497,0.775,0.4332,0.302,0.4376,0.4774,0.7829,0.5658
death,lightning,A1,A3,0.7284,0.424,0.322,0.4028,0.3852,0.71,0.42,0.775,0.4332,0.3756,0.51,0.4762,0.7753,0.5506
death,mango,A1,A3,0.7284,0.424,0.118,0.1944,0.3808,0.7502,0.5004,0.775,0.4332,0.0426,0.0602,0.3594,0.8002,0.6005
death,peace,A1,A3,0.7284,0.424,0.2756,0.7084,0.7372,0.8695,0.7391,0.775,0.4332,0.1886,0.5726,0.7258,0.8963,0.7926
death,peach,A1,A3,0.7284,0.424,0.243,0.23,0.2914,0.6798,0.3597,0.775,0.4332,0.0288,0.0976,0.4106,0.8275,0.6551
death,sad,A1,A3,0.7284,0.424,0.6488,0.4436,0.0992,0.5557,0.1114,0.775,0.4332,0.7964,0.4174,-0.0372,0.4744,0.0512
death,safety,A1,A3,0.7284,0.424,0.3688,0.4706,0.4062,0.7153,0.4305,0.775,0.4332,0.223,0.3274,0.4462,0.7841,0.5681
death,sandstorm,A1,A3,0.7284,0.424,0.4604,0.3534,0.1974,0.6095,0.2189,0.775,0.4332,0.3454,0.3636,0.36,0.7225,0.4449
death,sick,A1,A3,0.7284,0.424,0.5234,0.4454,0.2264,0.6225,0.245,0.775,0.4332,0.4512,0.242,0.1326,0.5882,0.1765
death,tree,A1,A3,0.7284,0.424,0.2184,0.1714,0.2574,0.668,0.336,0.775,0.4332,0.0992,0.1328,0.3754,0.7919,0.5838
happy,justice,A1,A3,0.199,0.5554,0.2456,0.69,0.088,0.5557,0.1114,0.1012,0.3008,0.302,0.4376,-0.064,0.4535,0.093
happy,lightning,A1,A3,0.199,0.5554,0.322,0.4028,-0.2756,0.3414,0.3171,0.1012,0.3008,0.3756,0.51,-0.0652,0.4544,0.0912
happy,mango,A1,A3,0.199,0.5554,0.118,0.1944,-0.28,0.3011,0.3977,0.1012,0.3008,0.0426,0.0602,-0.182,0.291,0.4181
happy,peace,A1,A3,0.199,0.5554,0.2756,0.7084,0.0764,0.548,0.0961,0.1012,0.3008,0.1886,0.5726,0.1844,0.6415,0.2831
happy,peach,A1,A3,0.199,0.5554,0.243,0.23,-0.3694,0.2689,0.4622,0.1012,0.3008,0.0288,0.0976,-0.1308,0.3506,0.2987
happy,sad,A1,A3,0.199,0.5554,0.6488,0.4436,-0.5616,0.207,0.5861,0.1012,0.3008,0.7964,0.4174,-0.5786,0.1295,0.7411
happy,safety,A1,A3,0.199,0.5554,0.3688,0.4706,-0.2546,0.3567,0.2866,0.1012,0.3008,0.223,0.3274,-0.0952,0.4244,0.1511
happy,sandstorm,A1,A3,0.199,0.5554,0.4604,0.3534,-0.4634,0.2507,0.4986,0.1012,0.3008,0.3454,0.3636,-0.1814,0.3701,0.2598
happy,sick,A1,A3,0.199,0.5554,0.5234,0.4454,-0.4344,0.2689,0.4622,0.1012,0.3008,0.4512,0.242,-0.4088,0.2202,0.5595
happy,tree,A1,A3,0.199,0.5554,0.2184,0.1714,-0.4034,0.2385,0.523,0.1012,0.3008,0.0992,0.1328,-0.166,0.3289,0.3422
justice,lightning,A1,A3,0.2456,0.69,0.322,0.4028,-0.3636,0.2918,0.4163,0.302,0.4376,0.3756,0.51,-0.0012,0.4993,0.0015
justice,mango,A1,A3,0.2456,0.69,0.118,0.1944,-0.368,0.2409,0.5181,0.302,0.4376,0.0426,0.0602,-0.118,0.3982,0.2036
justice,peace,A1,A3,0.2456,0.69,0.2756,0.7084,-0.0116,0.4925,0.0149,0.302,0.4376,0.1886,0.5726,0.2484,0.6609,0.3217
justice,peach,A1,A3,0.2456,0.69,0.243,0.23,-0.4574,0.2179,0.5642,0.302,0.4376,0.0288,0.0976,-0.0668,0.4429,0.1142
justice,sad,A1,A3,0.2456,0.69,0.6488,0.4436,-0.6496,0.1684,0.6631,0.302,0.4376,0.7964,0.4174,-0.5146,0.1964,0.6072
justice,safety,A1,A3,0.2456,0.69,0.3688,0.4706,-0.3426,0.3078,0.3844,0.302,0.4376,0.223,0.3274,-0.0312,0.479,0.0421
justice,sandstorm,A1,A3,0.2456,0.69,0.4604,0.3534,-0.5514,0.2081,0.5837,0.302,0.4376,0.3454,0.3636,-0.1174,0.4263,0.1474
justice,sick,A1,A3,0.2456,0.69,0.5234,0.4454,-0.5224,0.2259,0.5481,0.302,0.4376,0.4512,0.242,-0.3448,0.2882,0.4237
justice,tree,A1,A3,0.2456,0.69,0.2184,0.1714,-0.4914,0.1875,0.625,0.302,0.4376,0.0992,0.1328,-0.102,0.4176,0.1648
lightning,mango,A1,A3,0.322,0.4028,0.118,0.1944,-0.0044,0.497,0.0061,0.3756,0.51,0.0426,0.0602,-0.1168,0.4044,0.1912
lightning,peace,A1,A3,0.322,0.4028,0.2756,0.7084,0.352,0.7009,0.4019,0.3756,0.51,0.1886,0.5726,0.2496,0.6568,0.3135
lightning,peach,A1,A3,0.322,0.4028,0.243,0.23,-0.0938,0.4414,0.1172,0.3756,0.51,0.0288,0.0976,-0.0656,0.4467,0.1065
lightning,sad,A1,A3,0.322,0.4028,0.6488,0.4436,-0.286,0.3455,0.3089,0.3756,0.51,0.7964,0.4174,-0.5134,0.2044,0.5912
lightning,safety,A1,A3,0.322,0.4028,0.3688,0.4706,0.021,0.5115,0.0231,0.3756,0.51,0.223,0.3274,-0.03,0.4804,0.0392
lightning,sandstorm,A1,A3,0.322,0.4028,0.4604,0.3534,-0.1878,0.3973,0.2054,0.3756,0.51,0.3454,0.3636,-0.1162,0.4291,0.1418
lightning,sick,A1,A3,0.322,0.4028,0.5234,0.4454,-0.1588,0.4147,0.1707,0.3756,0.51,0.4512,0.242,-0.3436,0.2945,0.411
lightning,tree,A1,A3,0.322,0.4028,0.2184,0.1714,-0.1278,0.4165,0.167,0.3756,0.51,0.0992,0.1328,-0.1008,0.4223,0.1555
mango,peace,A1,A3,0.118,0.1944,0.2756,0.7084,0.3564,0.7499,0.4997,0.0426,0.0602,0.1886,0.5726,0.3664,0.8144,0.6288
mango,peach,A1,A3,0.118,0.1944,0.243,0.23,-0.0894,0.4274,0.1453,0.0426,0.0602,0.0288,0.0976,0.0512,0.6257,0.2514
mango,sad,A1,A3,0.118,0.1944,0.6488,0.4436,-0.2816,0.3174,0.3652,0.0426,0.0602,0.7964,0.4174,-0.3966,0.1694,0.6611
mango,safety,A1,A3,0.118,0.1944,0.3688,0.4706,0.0254,0.5169,0.0338,0.0426,0.0602,0.223,0.3274,0.0868,0.5862,0.1724
mango,sandstorm,A1,A3,0.118,0.1944,0.4604,0.3534,-0.1834,0.379,0.2421,0.0426,0.0602,0.3454,0.3636,6e-4,0.5005,0.001
mango,sick,A1,A3,0.118,0.1944,0.5234,0.4454,-0.1544,0.4006,0.1988,0.0426,0.0602,0.4512,0.242,-0.2268,0.3015,0.397
mango,tree,A1,A3,0.118,0.1944,0.2184,0.1714,-0.1234,0.3915,0.217,0.0426,0.0602,0.0992,0.1328,0.016,0.5286,0.0572
peace,peach,A1,A3,0.2756,0.7084,0.243,0.23,-0.4458,0.2257,0.5486,0.1886,0.5726,0.0288,0.0976,-0.3152,0.2255,0.5489
peace,sad,A1,A3,0.2756,0.7084,0.6488,0.4436,-0.638,0.1743,0.6514,0.1886,0.5726,0.7964,0.4174,-0.763,0.0892,0.8217
peace,safety,A1,A3,0.2756,0.7084,0.3688,0.4706,-0.331,0.3149,0.3702,0.1886,0.5726,0.223,0.3274,-0.2796,0.3073,0.3855
peace,sandstorm,A1,A3,0.2756,0.7084,0.4604,0.3534,-0.5398,0.2145,0.5709,0.1886,0.5726,0.3454,0.3636,-0.3658,0.2705,0.4591
peace,sick,A1,A3,0.2756,0.7084,0.5234,0.4454,-0.5108,0.2323,0.5353,0.1886,0.5726,0.4512,0.242,-0.5932,0.1543,0.6914
peace,tree,A1,A3,0.2756,0.7084,0.2184,0.1714,-0.4798,0.1954,0.6091,0.1886,0.5726,0.0992,0.1328,-0.3504,0.2162,0.5677
peach,sad,A1,A3,0.243,0.23,0.6488,0.4436,-0.1922,0.3837,0.2326,0.0288,0.0976,0.7964,0.4174,-0.4478,0.1449,0.7102
peach,safety,A1,A3,0.243,0.23,0.3688,0.4706,0.1148,0.5695,0.1389,0.0288,0.0976,0.223,0.3274,0.0356,0.5348,0.0697
peach,sandstorm,A1,A3,0.243,0.23,0.4604,0.3534,-0.094,0.4427,0.1147,0.0288,0.0976,0.3454,0.3636,-0.0506,0.4566,0.0868
peach,sick,A1,A3,0.243,0.23,0.5234,0.4454,-0.065,0.4613,0.0775,0.0288,0.0976,0.4512,0.242,-0.278,0.2656,0.4688
peach,tree,A1,A3,0.243,0.23,0.2184,0.1714,-0.034,0.474,0.052,0.0288,0.0976,0.0992,0.1328,-0.0352,0.4413,0.1175
