concept1,concept2,color1,color2,deltaS_sample,deltaS_fit
happy,sandstorm,WH,DH,0.3594458314616351,0.3668935856100428
lightning,death,WH,DH,0.05662865113161897,0.05931713227916924
lightning,banana,WH,DH,0.5104208164822979,0.5135135044008066
lightning,sandstorm,WH,DH,0.14481177692720548,0.14594878386306664
death,banana,WH,DH,0.5253545379438751,0.5608445145238041
death,sandstorm,WH,DH,0.18936615794691658,0.20454936368235854
banana,sandstorm,WH,DH,0.37656252543027113,0.3914121335699271
sick,safety,WH,SO,0.21193241611323899,0.21415368151898995
sick,mango,WH,SO,0.721660497228793,0.7168706435297227
sick,justice,WH,SO,0.14830359909514068,0.1598830820449414
sick,sad,WH,SO,0.20893133632459726,0.21732823171556714
sick,tree,WH,SO,0.5054082259307624,0.5384527647580364
sick,peach,WH,SO,0.4997119522202276,0.5184977152254993
sick,angry,WH,SO,0.5496480568473885,0.5691925362404158
sick,peace,WH,SO,0.07486403387612617,0.07806703906053036
sick,happy,WH,SO,0.20274080402520744,0.20589258412885192
sick,lightning,WH,SO,0.29263007585886736,0.2943212116739966
sick,death,WH,SO,0.02384712490640828,0.025838340275861515
sick,banana,WH,SO,0.5906725818979004,0.6147022544454179
sick,sandstorm,WH,SO,0.35135930192964837,0.36034142357104626
safety,mango,WH,SO,0.5389407574371083,0.5216720964579336
safety,justice,WH,SO,0.3368621876442013,0.3477045189303589
safety,sad,WH,SO,0.016213307132588284,0.016262108020622
safety,tree,WH,SO,0.26818500765623465,0.2745566688273742
safety,peach,WH,SO,0.2843217799454436,0.2859556713236884
safety,angry,WH,SO,0.32750490053524905,0.3281810190410248
safety,peace,WH,SO,0.2728712957942564,0.27446363772259996
safety,happy,WH,SO,0.012161744688970355,0.011988312536264312
safety,lightning,WH,SO,0.08161991175257688,0.07990819551002093
safety,death,WH,SO,0.22624245164462586,0.2346316779040205
safety,banana,WH,SO,0.39188575734140807,0.3967843427533255
safety,sandstorm,WH,SO,0.1394209953237615,0.1388536734545076
mango,justice,WH,SO,0.7828285408022392,0.7908543794900894
mango,sad,WH,SO,0.5816812648905344,0.5731557127011052
mango,tree,WH,SO,0.36866004057335233,0.36952018898404293
mango,peach,WH,SO,0.2998328536986392,0.2956895692605941
mango,angry,WH,SO,0.28137029157864024,0.2757142018481653
mango,peace,WH,SO,0.746603856874256,0.7400455240203299
mango,happy,WH,SO,0.556097796303801,0.5399328163662759
mango,lightning,WH,SO,0.4651399887777815,0.44806942734919086
mango,death,WH,SO,0.7154601118517734,0.7259376671411324
mango,banana,WH,SO,0.16479216860769674,0.1639546492841415
mango,sandstorm,WH,SO,0.41655701549523183,0.4077055473317355
justice,sad,WH,SO,0.34123534979343284,0.3628999185186168
justice,tree,WH,SO,0.6079564074122448,0.657887792957258
justice,peach,WH,SO,0.5964403329940022,0.6289262102292714
justice,angry,WH,SO,0.6422781436413163,0.6763055748763593
justice,peace,WH,SO,0.07192883345950385,0.07684452949413312
justice,happy,WH,SO,0.33019888800609687,0.3426894824634543
justice,lightning,WH,SO,0.4091776347244902,0.4200110036965914
justice,death,WH,SO,0.12009124347009092,0.1330663703394832
justice,banana,WH,SO,0.6721539263175405,0.7083366021598345
justice,sandstorm,WH,SO,0.462548335854466,0.4832022898439299
sad,tree,WH,SO,0.3053805312317528,0.32400564097474693
sad,peach,WH,SO,0.3176280528868536,0.3279300692235356
sad,angry,WH,SO,0.3655302331653496,0.37660040938982253
sad,peace,WH,SO,0.2733907384799612,0.2821476607410325
sad,happy,WH,SO,0.003580893411463393,0.0036086410072937447
sad,lightning,WH,SO,0.10223184672589158,0.10209058893033207
sad,death,WH,SO,0.22376641491297977,0.23952841802521074
sad,banana,WH,SO,0.42822965272890223,0.44445315085063486
sad,sandstorm,WH,SO,0.16334253701497214,0.16643241207284665
tree,peach,WH,SO,0.04377622449626317,0.04674283498284182
tree,angry,WH,SO,0.08545651721900271,0.09143215182583209
tree,peace,WH,SO,0.5513176800289783,0.580316742151785
tree,happy,WH,SO,0.2859326179192454,0.29451319688083655
tree,lightning,WH,SO,0.17662349016156564,0.17991020250324485
tree,death,WH,SO,0.5058561414914059,0.55419837303145
tree,banana,WH,SO,0.1833679640858059,0.19709180170955043
tree,sandstorm,WH,SO,0.11388726990432885,0.11894512374820643
peach,angry,WH,SO,0.03539400489092337,0.03667418723717164
peach,peace,WH,SO,0.5436383176509176,0.5598627470303912
peach,happy,WH,SO,0.3004685861578813,0.30355497894986294
peach,lightning,WH,SO,0.20029116052353169,0.20060327592518923
peach,death,WH,SO,0.5018881094685506,0.5336060481549831
peach,banana,WH,SO,0.13021244516674102,0.13605925363932836
peach,sandstorm,WH,SO,0.14279762337875723,0.14591395435226628
angry,peace,WH,SO,0.5906761299532124,0.6069066823815806
angry,happy,WH,SO,0.3449389830121721,0.34728021101160933
angry,lightning,WH,SO,0.24082858182403055,0.240243890567841
angry,death,WH,SO,0.5489091841554921,0.5833177295855804
angry,banana,WH,SO,0.1023535821276631,0.10692135803147962
angry,sandstorm,WH,SO,0.18191162889879242,0.185410664213562
peace,happy,WH,SO,0.26498982627076995,0.26772260865735853
peace,lightning,WH,SO,0.3486429227722412,0.3492279314484601
peace,death,WH,SO,0.04903021048497158,0.05258819733706832
peace,banana,WH,SO,0.6266305543535884,0.6473006804468433
peace,sandstorm,WH,SO,0.4041233409871752,0.41204819401337867
happy,lightning,WH,SO,0.09474555453696554,0.0930625077415761
happy,death,WH,SO,0.21752699349579163,0.2268945147471737
happy,banana,WH,SO,0.4081462485049241,0.41502868374072843
happy,sandstorm,WH,SO,0.15332934010033905,0.15330069297788684
lightning,death,WH,SO,0.30369282369918327,0.31319122494896323
lightning,banana,WH,SO,0.31324694408903575,0.315977235133414
lightning,sandstorm,WH,SO,0.057252801240537554,0.056803464306821816
death,banana,WH,SO,0.5897193892693351,0.6269400034763752
death,sandstorm,WH,SO,0.3600637941594915,0.378378880373742
