conA,conB,col1,col2,x1_us,x2_us,x3_us,x4_us,p_gt0_us,dX_us,dS_us,x1_mg,x2_mg,x3_mg,x4_mg,p_gt0_mg,dX_mg,dS_mg,dS_diff
angry,banana,A1,A2,0.3736,0.3438,0.0524,0.0712,0.5412,0.0486,0.0824,0.3566,0.346,0.1342,0.179,0.5423,0.0554,0.0845,-0.0021
angry,death,A1,A2,0.3736,0.3438,0.775,0.6698,0.4502,-0.0754,0.0997,0.3566,0.346,0.7284,0.5956,0.4228,-0.1222,0.1544,-0.0547
angry,happy,A1,A2,0.3736,0.3438,0.1012,0.1154,0.5355,0.044,0.071,0.3566,0.346,0.199,0.241,0.5371,0.0526,0.0742,-0.0032
angry,justice,A1,A2,0.3736,0.3438,0.302,0.333,0.5387,0.0608,0.0775,0.3566,0.346,0.2456,0.392,0.6002,0.157,0.2005,-0.123
angry,lightning,A1,A2,0.3736,0.3438,0.3756,0.3102,0.4777,-0.0356,0.0446,0.3566,0.346,0.322,0.4078,0.5597,0.0964,0.1195,-0.0749
angry,mango,A1,A2,0.3736,0.3438,0.0426,0.0432,0.5262,0.0304,0.0524,0.3566,0.346,0.118,0.1832,0.5581,0.0758,0.1163,-0.0639
angry,peace,A1,A2,0.3736,0.3438,0.1886,0.2364,0.5548,0.0776,0.1096,0.3566,0.346,0.2756,0.2918,0.5177,0.0268,0.0354,0.0742
angry,peach,A1,A2,0.3736,0.3438,0.0288,0.0424,0.5376,0.0434,0.0751,0.3566,0.346,0.243,0.215,0.4878,-0.0174,0.0243,0.0508
angry,sad,A1,A2,0.3736,0.3438,0.7964,0.7026,0.4566,-0.064,0.0869,0.3566,0.346,0.6488,0.621,0.4893,-0.0172,0.0213,0.0656
angry,safety,A1,A2,0.3736,0.3438,0.223,0.2158,0.5159,0.0226,0.0318,0.3566,0.346,0.3688,0.223,0.4119,-0.1352,0.1762,-0.1444
angry,sandstorm,A1,A2,0.3736,0.3438,0.3454,0.4254,0.5669,0.1098,0.1338,0.3566,0.346,0.4604,0.5138,0.5381,0.064,0.0763,0.0575
angry,sick,A1,A2,0.3736,0.3438,0.4512,0.4422,0.5124,0.0208,0.0248,0.3566,0.346,0.5234,0.5204,0.5045,0.0076,0.0091,0.0157
angry,tree,A1,A2,0.3736,0.3438,0.0992,0.0934,0.5197,0.024,0.0393,0.3566,0.346,0.2184,0.2534,0.5316,0.0456,0.0632,-0.0239
banana,death,A1,A2,0.0524,0.0712,0.775,0.6698,0.3814,-0.124,0.2372,0.1342,0.179,0.7284,0.5956,0.3636,-0.1776,0.2728,-0.0356
banana,happy,A1,A2,0.0524,0.0712,0.1012,0.1154,0.4918,-0.0046,0.0164,0.1342,0.179,0.199,0.241,0.4974,-0.0028,0.0052,0.0112
banana,justice,A1,A2,0.0524,0.0712,0.302,0.333,0.511,0.0122,0.0219,0.1342,0.179,0.2456,0.392,0.5809,0.1016,0.1618,-0.1399
banana,lightning,A1,A2,0.0524,0.0712,0.3756,0.3102,0.4273,-0.0842,0.1455,0.1342,0.179,0.322,0.4078,0.5311,0.041,0.0621,0.0834
banana,mango,A1,A2,0.0524,0.0712,0.0426,0.0432,0.4488,-0.0182,0.1024,0.1342,0.179,0.118,0.1832,0.5222,0.0204,0.0445,0.0579
banana,peace,A1,A2,0.0524,0.0712,0.1886,0.2364,0.5329,0.029,0.0659,0.1342,0.179,0.2756,0.2918,0.4763,-0.0286,0.0475,0.0184
banana,peach,A1,A2,0.0524,0.0712,0.0288,0.0424,0.4846,-0.0052,0.0308,0.1342,0.179,0.243,0.215,0.4338,-0.0728,0.1323,-0.1015
banana,sad,A1,A2,0.0524,0.0712,0.7964,0.7026,0.3858,-0.1126,0.2284,0.1342,0.179,0.6488,0.621,0.4454,-0.0726,0.1093,0.1191
banana,safety,A1,A2,0.0524,0.0712,0.223,0.2158,0.4711,-0.026,0.0578,0.1342,0.179,0.3688,0.223,0.3467,-0.1906,0.3065,-0.2487
banana,sandstorm,A1,A2,0.0524,0.0712,0.3454,0.4254,0.5507,0.0612,0.1014,0.1342,0.179,0.4604,0.5138,0.5061,0.0086,0.0123,0.0891
banana,sick,A1,A2,0.0524,0.0712,0.4512,0.4422,0.478,-0.0278,0.0441,0.1342,0.179,0.5234,0.5204,0.4659,-0.0478,0.0681,-0.024
banana,tree,A1,A2,0.0524,0.0712,0.0992,0.0934,0.4528,-0.0246,0.0943,0.1342,0.179,0.2184,0.2534,0.4912,-0.0098,0.0177,0.0766
death,happy,A1,A2,0.775,0.6698,0.1012,0.1154,0.6073,0.1194,0.2147,0.7284,0.5956,0.199,0.241,0.624,0.1748,0.2481,-0.0334
death,justice,A1,A2,0.775,0.6698,0.302,0.333,0.5924,0.1362,0.1849,0.7284,0.5956,0.2456,0.392,0.6771,0.2792,0.3542,-0.1693
death,lightning,A1,A2,0.775,0.6698,0.3756,0.3102,0.5267,0.0398,0.0534,0.7284,0.5956,0.322,0.4078,0.6355,0.2186,0.271,-0.2176
death,mango,A1,A2,0.775,0.6698,0.0426,0.0432,0.6036,0.1058,0.2073,0.7284,0.5956,0.118,0.1832,0.6524,0.198,0.3047,-0.0974
death,peace,A1,A2,0.775,0.6698,0.1886,0.2364,0.6168,0.153,0.2336,0.7284,0.5956,0.2756,0.2918,0.5991,0.149,0.1982,0.0354
death,peach,A1,A2,0.775,0.6698,0.0288,0.0424,0.6167,0.1188,0.2334,0.7284,0.5956,0.243,0.215,0.5743,0.1048,0.1487,0.0847
death,sad,A1,A2,0.775,0.6698,0.7964,0.7026,0.5084,0.0114,0.0168,0.7284,0.5956,0.6488,0.621,0.5659,0.105,0.1317,-0.1149
death,safety,A1,A2,0.775,0.6698,0.223,0.2158,0.5747,0.098,0.1495,0.7284,0.5956,0.3688,0.223,0.4913,-0.013,0.0174,0.1321
death,sandstorm,A1,A2,0.775,0.6698,0.3454,0.4254,0.6192,0.1852,0.2384,0.7284,0.5956,0.4604,0.5138,0.6113,0.1862,0.2226,0.0158
death,sick,A1,A2,0.775,0.6698,0.4512,0.4422,0.5608,0.0962,0.1217,0.7284,0.5956,0.5234,0.5204,0.5781,0.1298,0.1561,-0.0344
death,tree,A1,A2,0.775,0.6698,0.0992,0.0934,0.5913,0.0994,0.1827,0.7284,0.5956,0.2184,0.2534,0.617,0.1678,0.2341,-0.0514
happy,justice,A1,A2,0.1012,0.1154,0.302,0.333,0.5143,0.0168,0.0285,0.199,0.241,0.2456,0.392,0.5763,0.1044,0.1527,-0.1242
happy,lightning,A1,A2,0.1012,0.1154,0.3756,0.3102,0.4347,-0.0796,0.1307,0.199,0.241,0.322,0.4078,0.5307,0.0438,0.0614,0.0693
happy,mango,A1,A2,0.1012,0.1154,0.0426,0.0432,0.4739,-0.0136,0.0521,0.199,0.241,0.118,0.1832,0.5218,0.0232,0.0435,0.0086
happy,peace,A1,A2,0.1012,0.1154,0.1886,0.2364,0.535,0.0336,0.07,0.199,0.241,0.2756,0.2918,0.4805,-0.0258,0.0391,0.0309
happy,peach,A1,A2,0.1012,0.1154,0.0288,0.0424,0.4988,-6.00E-04,0.0024,0.199,0.241,0.243,0.215,0.4429,-0.07,0.1142,-0.1118
happy,sad,A1,A2,0.1012,0.1154,0.7964,0.7026,0.3978,-0.108,0.2044,0.199,0.241,0.6488,0.621,0.4513,-0.0698,0.0973,0.1071
happy,safety,A1,A2,0.1012,0.1154,0.223,0.2158,0.4781,-0.0214,0.0438,0.199,0.241,0.3688,0.223,0.3614,-0.1878,0.2771,-0.2333
happy,sandstorm,A1,A2,0.1012,0.1154,0.3454,0.4254,0.5519,0.0658,0.1039,0.199,0.241,0.4604,0.5138,0.5076,0.0114,0.0152,0.0887
happy,sick,A1,A2,0.1012,0.1154,0.4512,0.4422,0.4824,-0.0232,0.0352,0.199,0.241,0.5234,0.5204,0.4701,-0.045,0.0598,-0.0246
happy,tree,A1,A2,0.1012,0.1154,0.0992,0.0934,0.4691,-0.02,0.0619,0.199,0.241,0.2184,0.2534,0.4943,-0.007,0.0113,0.0506
justice,lightning,A1,A2,0.302,0.333,0.3756,0.3102,0.438,-0.0964,0.1241,0.2456,0.392,0.322,0.4078,0.4612,-0.0606,0.0777,0.0464
justice,mango,A1,A2,0.302,0.333,0.0426,0.0432,0.4722,-0.0304,0.0555,0.2456,0.392,0.118,0.1832,0.4347,-0.0812,0.1306,-0.0751
justice,peace,A1,A2,0.302,0.333,0.1886,0.2364,0.5124,0.0168,0.0247,0.2456,0.392,0.2756,0.2918,0.4117,-0.1302,0.1766,-0.1519
justice,peach,A1,A2,0.302,0.333,0.0288,0.0424,0.484,-0.0174,0.032,0.2456,0.392,0.243,0.215,0.3752,-0.1744,0.2495,-0.2175
justice,sad,A1,A2,0.302,0.333,0.7964,0.7026,0.4128,-0.1248,0.1744,0.2456,0.392,0.6488,0.621,0.39,-0.1742,0.22,-0.0456
justice,safety,A1,A2,0.302,0.333,0.223,0.2158,0.4721,-0.0382,0.0557,0.2456,0.392,0.3688,0.223,0.3091,-0.2922,0.3818,-0.3261
justice,sandstorm,A1,A2,0.302,0.333,0.3454,0.4254,0.5308,0.049,0.0617,0.2456,0.392,0.4604,0.5138,0.4431,-0.093,0.1139,-0.0522
justice,sick,A1,A2,0.302,0.333,0.4512,0.4422,0.4755,-0.04,0.049,0.2456,0.392,0.5234,0.5204,0.4091,-0.1494,0.1818,-0.1328
justice,tree,A1,A2,0.302,0.333,0.0992,0.0934,0.4683,-0.0368,0.0635,0.2456,0.392,0.2184,0.2534,0.4202,-0.1114,0.1596,-0.0961
lightning,mango,A1,A2,0.3756,0.3102,0.0426,0.0432,0.5581,0.066,0.1161,0.322,0.4078,0.118,0.1832,0.4843,-0.0206,0.0315,0.0846
lightning,peace,A1,A2,0.3756,0.3102,0.1886,0.2364,0.5809,0.1132,0.1618,0.322,0.4078,0.2756,0.2918,0.4544,-0.0696,0.0912,0.0706
lightning,peach,A1,A2,0.3756,0.3102,0.0288,0.0424,0.5697,0.079,0.1394,0.322,0.4078,0.243,0.215,0.4215,-0.1138,0.1571,-0.0177
lightning,sad,A1,A2,0.3756,0.3102,0.7964,0.7026,0.4804,-0.0284,0.0392,0.322,0.4078,0.6488,0.621,0.4303,-0.1136,0.1395,-0.1003
lightning,safety,A1,A2,0.3756,0.3102,0.223,0.2158,0.5415,0.0582,0.0829,0.322,0.4078,0.3688,0.223,0.3522,-0.2316,0.2956,-0.2127
lightning,sandstorm,A1,A2,0.3756,0.3102,0.3454,0.4254,0.5893,0.1454,0.1786,0.322,0.4078,0.4604,0.5138,0.4808,-0.0324,0.0385,0.1401
lightning,sick,A1,A2,0.3756,0.3102,0.4512,0.4422,0.534,0.0564,0.068,0.322,0.4078,0.5234,0.5204,0.4474,-0.0888,0.1051,-0.0371
lightning,tree,A1,A2,0.3756,0.3102,0.0992,0.0934,0.5497,0.0596,0.0995,0.322,0.4078,0.2184,0.2534,0.465,-0.0508,0.0699,0.0296
mango,peace,A1,A2,0.0426,0.0432,0.1886,0.2364,0.555,0.0472,0.11,0.118,0.1832,0.2756,0.2918,0.459,-0.049,0.0819,0.0281
mango,peach,A1,A2,0.0426,0.0432,0.0288,0.0424,0.5485,0.013,0.097,0.118,0.1832,0.243,0.215,0.4147,-0.0932,0.1705,-0.0735
mango,sad,A1,A2,0.0426,0.0432,0.7964,0.7026,0.4017,-0.0944,0.1966,0.118,0.1832,0.6488,0.621,0.4297,-0.093,0.1406,0.056
mango,safety,A1,A2,0.0426,0.0432,0.223,0.2158,0.4911,-0.0078,0.0178,0.118,0.1832,0.3688,0.223,0.33,-0.211,0.3399,-0.3221
mango,sandstorm,A1,A2,0.0426,0.0432,0.3454,0.4254,0.5666,0.0794,0.1333,0.118,0.1832,0.4604,0.5138,0.4915,-0.0118,0.017,0.1163
mango,sick,A1,A2,0.0426,0.0432,0.4512,0.4422,0.4923,-0.0096,0.0154,0.118,0.1832,0.5234,0.5204,0.4512,-0.0682,0.0976,-0.0822
mango,tree,A1,A2,0.0426,0.0432,0.0992,0.0934,0.4866,-0.0064,0.0268,0.118,0.1832,0.2184,0.2534,0.4726,-0.0302,0.0549,-0.0281
peace,peach,A1,A2,0.1886,0.2364,0.0288,0.0424,0.4598,-0.0342,0.0805,0.2756,0.2918,0.243,0.215,0.4669,-0.0442,0.0661,0.0144
peace,sad,A1,A2,0.1886,0.2364,0.7964,0.7026,0.3878,-0.1416,0.2243,0.2756,0.2918,0.6488,0.621,0.4713,-0.044,0.0575,0.1668
peace,safety,A1,A2,0.1886,0.2364,0.223,0.2158,0.4538,-0.055,0.0924,0.2756,0.2918,0.3688,0.223,0.3885,-0.162,0.2231,-0.1307
peace,sandstorm,A1,A2,0.1886,0.2364,0.3454,0.4254,0.5224,0.0322,0.0449,0.2756,0.2918,0.4604,0.5138,0.5233,0.0372,0.0466,-0.0017
peace,sick,A1,A2,0.1886,0.2364,0.4512,0.4422,0.4617,-0.0568,0.0766,0.2756,0.2918,0.5234,0.5204,0.488,-0.0192,0.024,0.0526
peace,tree,A1,A2,0.1886,0.2364,0.0992,0.0934,0.4429,-0.0536,0.1141,0.2756,0.2918,0.2184,0.2534,0.5139,0.0188,0.0279,0.0862
peach,sad,A1,A2,0.0288,0.0424,0.7964,0.7026,0.3878,-0.1074,0.2245,0.243,0.215,0.6488,0.621,0.5001,2e-4,3e-4,0.2242
peach,safety,A1,A2,0.0288,0.0424,0.223,0.2158,0.476,-0.0208,0.0479,0.243,0.215,0.3688,0.223,0.413,-0.1178,0.174,-0.1261
peach,sandstorm,A1,A2,0.0288,0.0424,0.3454,0.4254,0.556,0.0664,0.1121,0.243,0.215,0.4604,0.5138,0.5536,0.0814,0.1071,0.005
peach,sick,A1,A2,0.0288,0.0424,0.4512,0.4422,0.4818,-0.0226,0.0365,0.243,0.215,0.5234,0.5204,0.5165,0.025,0.033,0.0035
peach,tree,A1,A2,0.0288,0.0424,0.0992,0.0934,0.4584,-0.0194,0.0832,0.243,0.215,0.2184,0.2534,0.5502,0.063,0.1004,-0.0172
sad,safety,A1,A2,0.7964,0.7026,0.223,0.2158,0.5685,0.0866,0.1369,0.6488,0.621,0.3688,0.223,0.4236,-0.118,0.1527,-0.0158
sad,sandstorm,A1,A2,0.7964,0.7026,0.3454,0.4254,0.6148,0.1738,0.2297,0.6488,0.621,0.4604,0.5138,0.548,0.0812,0.096,0.1337
sad,sick,A1,A2,0.7964,0.7026,0.4512,0.4422,0.555,0.0848,0.1099,0.6488,0.621,0.5234,0.5204,0.5147,0.0248,0.0293,0.0806
sad,tree,A1,A2,0.7964,0.7026,0.0992,0.0934,0.5853,0.088,0.1706,0.6488,0.621,0.2184,0.2534,0.543,0.0628,0.0861,0.0845
safety,sandstorm,A1,A2,0.223,0.2158,0.3454,0.4254,0.5601,0.0872,0.1202,0.3688,0.223,0.4604,0.5138,0.6224,0.1992,0.2448,-0.1246
safety,sick,A1,A2,0.223,0.2158,0.4512,0.4422,0.4988,-0.0018,0.0024,0.3688,0.223,0.5234,0.5204,0.5883,0.1428,0.1767,-0.1743
safety,tree,A1,A2,0.223,0.2158,0.0992,0.0934,0.5015,0.0014,0.0029,0.3688,0.223,0.2184,0.2534,0.631,0.1808,0.2619,-0.259
sandstorm,sick,A1,A2,0.3454,0.4254,0.4512,0.4422,0.4476,-0.089,0.1048,0.4604,0.5138,0.5234,0.5204,0.4678,-0.0564,0.0644,0.0404
sandstorm,tree,A1,A2,0.3454,0.4254,0.0992,0.0934,0.4315,-0.0858,0.1371,0.4604,0.5138,0.2184,0.2534,0.4879,-0.0184,0.0241,0.113
sick,tree,A1,A2,0.4512,0.4422,0.0992,0.0934,0.5025,0.0032,0.0049,0.5234,0.5204,0.2184,0.2534,0.5249,0.038,0.0497,-0.0448
angry,banana,A1,A3,0.3736,0.1376,0.0524,0.0678,0.7436,0.2514,0.4871,0.3566,0.2608,0.1342,0.187,0.6173,0.1486,0.2347,0.2524
angry,death,A1,A3,0.3736,0.1376,0.775,0.4332,0.425,-0.1058,0.1501,0.3566,0.2608,0.7284,0.424,0.3658,-0.2086,0.2685,-0.1184
angry,happy,A1,A3,0.3736,0.1376,0.1012,0.3008,0.8141,0.4356,0.6282,0.3566,0.2608,0.199,0.5554,0.7792,0.4522,0.5584,0.0698
angry,justice,A1,A3,0.3736,0.1376,0.302,0.4376,0.7378,0.3716,0.4756,0.3566,0.2608,0.2456,0.69,0.8254,0.5402,0.6508,-0.1752
angry,lightning,A1,A3,0.3736,0.1376,0.3756,0.51,0.7301,0.3704,0.4601,0.3566,0.2608,0.322,0.4028,0.6123,0.1766,0.2247,0.2354
angry,mango,A1,A3,0.3736,0.1376,0.0426,0.0602,0.7477,0.2536,0.4953,0.3566,0.2608,0.118,0.1944,0.636,0.1722,0.2719,0.2234
angry,peace,A1,A3,0.3736,0.1376,0.1886,0.5726,0.8719,0.62,0.7438,0.3566,0.2608,0.2756,0.7084,0.8185,0.5286,0.6369,0.1069
angry,peach,A1,A3,0.3736,0.1376,0.0288,0.0976,0.7831,0.3048,0.5661,0.3566,0.2608,0.243,0.23,0.5597,0.0828,0.1194,0.4467
angry,sad,A1,A3,0.3736,0.1376,0.7964,0.4174,0.3974,-0.143,0.2052,0.3566,0.2608,0.6488,0.4436,0.4311,-0.1094,0.1378,0.0674
angry,safety,A1,A3,0.3736,0.1376,0.223,0.3274,0.7368,0.3404,0.4735,0.3566,0.2608,0.3688,0.4706,0.6221,0.1976,0.2441,0.2294
angry,sandstorm,A1,A3,0.3736,0.1376,0.3454,0.3636,0.6685,0.2542,0.3371,0.3566,0.2608,0.4604,0.3534,0.4929,-0.0112,0.0141,0.323
angry,sick,A1,A3,0.3736,0.1376,0.4512,0.242,0.5189,0.0268,0.0377,0.3566,0.2608,0.5234,0.4454,0.511,0.0178,0.022,0.0157
angry,tree,A1,A3,0.3736,0.1376,0.0992,0.1328,0.7394,0.2696,0.4788,0.3566,0.2608,0.2184,0.1714,0.5372,0.0488,0.0745,0.4043
banana,death,A1,A3,0.0524,0.0678,0.775,0.4332,0.2065,-0.3572,0.587,0.1342,0.187,0.7284,0.424,0.244,-0.3572,0.5119,0.0751
banana,happy,A1,A3,0.0524,0.0678,0.1012,0.3008,0.706,0.1842,0.4121,0.1342,0.187,0.199,0.5554,0.7318,0.3036,0.4636,-0.0515
banana,justice,A1,A3,0.0524,0.0678,0.302,0.4376,0.6015,0.1202,0.2029,0.1342,0.187,0.2456,0.69,0.7936,0.3916,0.5871,-0.3842
banana,lightning,A1,A3,0.0524,0.0678,0.3756,0.51,0.5954,0.119,0.1908,0.1342,0.187,0.322,0.4028,0.5212,0.028,0.0423,0.1485
banana,mango,A1,A3,0.0524,0.0678,0.0426,0.0602,0.5059,0.0022,0.0118,0.1342,0.187,0.118,0.1944,0.5251,0.0236,0.0501,-0.0383
banana,peace,A1,A3,0.0524,0.0678,0.1886,0.5726,0.8102,0.3686,0.6205,0.1342,0.187,0.2756,0.7084,0.7842,0.38,0.5683,0.0522
banana,peach,A1,A3,0.0524,0.0678,0.0288,0.0976,0.6223,0.0534,0.2445,0.1342,0.187,0.243,0.23,0.4414,-0.0658,0.1171,0.1274
banana,sad,A1,A3,0.0524,0.0678,0.7964,0.4174,0.1764,-0.3944,0.6473,0.1342,0.187,0.6488,0.4436,0.3168,-0.258,0.3664,0.2809
banana,safety,A1,A3,0.0524,0.0678,0.223,0.3274,0.5863,0.089,0.1726,0.1342,0.187,0.3688,0.4706,0.5357,0.049,0.0713,0.1013
banana,sandstorm,A1,A3,0.0524,0.0678,0.3454,0.3636,0.5024,0.0028,0.0048,0.1342,0.187,0.4604,0.3534,0.3843,-0.1598,0.2314,-0.2266
banana,sick,A1,A3,0.0524,0.0678,0.4512,0.242,0.3072,-0.2246,0.3856,0.1342,0.187,0.5234,0.4454,0.4076,-0.1308,0.1848,0.2008
banana,tree,A1,A3,0.0524,0.0678,0.0992,0.1328,0.5311,0.0182,0.0622,0.1342,0.187,0.2184,0.1714,0.4039,-0.0998,0.1921,-0.1299
death,happy,A1,A3,0.775,0.4332,0.1012,0.3008,0.8466,0.5414,0.6932,0.7284,0.424,0.199,0.5554,0.8637,0.6608,0.7273,-0.0341
death,justice,A1,A3,0.775,0.4332,0.302,0.4376,0.7796,0.4774,0.5592,0.7284,0.424,0.2456,0.69,0.897,0.7488,0.794,-0.2348
death,lightning,A1,A3,0.775,0.4332,0.3756,0.51,0.772,0.4762,0.5441,0.7284,0.424,0.322,0.4028,0.7286,0.3852,0.4573,0.0868
death,mango,A1,A3,0.775,0.4332,0.0426,0.0602,0.7969,0.3594,0.5937,0.7284,0.424,0.118,0.1944,0.7712,0.3808,0.5423,0.0514
death,peace,A1,A3,0.775,0.4332,0.1886,0.5726,0.893,0.7258,0.7861,0.7284,0.424,0.2756,0.7084,0.8919,0.7372,0.7838,0.0023
death,peach,A1,A3,0.775,0.4332,0.0288,0.0976,0.8241,0.4106,0.6482,0.7284,0.424,0.243,0.23,0.6964,0.2914,0.3927,0.2555
death,sad,A1,A3,0.775,0.4332,0.7964,0.4174,0.4748,-0.0372,0.0505,0.7284,0.424,0.6488,0.4436,0.5612,0.0992,0.1224,-0.0719
death,safety,A1,A3,0.775,0.4332,0.223,0.3274,0.7808,0.4462,0.5615,0.7284,0.424,0.3688,0.4706,0.7342,0.4062,0.4685,0.093
death,sandstorm,A1,A3,0.775,0.4332,0.3454,0.3636,0.7196,0.36,0.4393,0.7284,0.424,0.4604,0.3534,0.6201,0.1974,0.2402,0.1991
death,sick,A1,A3,0.775,0.4332,0.4512,0.242,0.587,0.1326,0.174,0.7284,0.424,0.5234,0.4454,0.6343,0.2264,0.2686,-0.0946
death,tree,A1,A3,0.775,0.4332,0.0992,0.1328,0.7886,0.3754,0.5771,0.7284,0.424,0.2184,0.1714,0.6836,0.2574,0.3672,0.2099
happy,justice,A1,A3,0.1012,0.3008,0.302,0.4376,0.4541,-0.064,0.0917,0.199,0.5554,0.2456,0.69,0.5612,0.088,0.1224,-0.0307
happy,lightning,A1,A3,0.1012,0.3008,0.3756,0.51,0.455,-0.0652,0.0899,0.199,0.5554,0.322,0.4028,0.3266,-0.2756,0.3468,-0.2569
happy,mango,A1,A3,0.1012,0.3008,0.0426,0.0602,0.2937,-0.182,0.4127,0.199,0.5554,0.118,0.1944,0.2833,-0.28,0.4335,-0.0208
happy,peace,A1,A3,0.1012,0.3008,0.1886,0.5726,0.6396,0.1844,0.2792,0.199,0.5554,0.2756,0.7084,0.5528,0.0764,0.1056,0.1736
happy,peach,A1,A3,0.1012,0.3008,0.0288,0.0976,0.3527,-0.1308,0.2947,0.199,0.5554,0.243,0.23,0.249,-0.3694,0.502,-0.2073
happy,sad,A1,A3,0.1012,0.3008,0.7964,0.4174,0.1329,-0.5786,0.7342,0.199,0.5554,0.6488,0.4436,0.1844,-0.5616,0.6312,0.103
happy,safety,A1,A3,0.1012,0.3008,0.223,0.3274,0.4255,-0.0952,0.149,0.199,0.5554,0.3688,0.4706,0.3431,-0.2546,0.3138,-0.1648
happy,sandstorm,A1,A3,0.1012,0.3008,0.3454,0.3636,0.3719,-0.1814,0.2562,0.199,0.5554,0.4604,0.3534,0.2298,-0.4634,0.5404,-0.2842
happy,sick,A1,A3,0.1012,0.3008,0.4512,0.242,0.2235,-0.4088,0.553,0.199,0.5554,0.5234,0.4454,0.249,-0.4344,0.502,0.051
happy,tree,A1,A3,0.1012,0.3008,0.0992,0.1328,0.3312,-0.166,0.3376,0.199,0.5554,0.2184,0.1714,0.217,-0.4034,0.5659,-0.2283
justice,lightning,A1,A3,0.302,0.4376,0.3756,0.51,0.4993,-0.0012,0.0015,0.2456,0.69,0.322,0.4028,0.2733,-0.3636,0.4534,-0.4519
justice,mango,A1,A3,0.302,0.4376,0.0426,0.0602,0.3996,-0.118,0.2007,0.2456,0.69,0.118,0.1944,0.2196,-0.368,0.5609,-0.3602
justice,peace,A1,A3,0.302,0.4376,0.1886,0.5726,0.6587,0.2484,0.3174,0.2456,0.69,0.2756,0.7084,0.4918,-0.0116,0.0164,0.301
justice,peach,A1,A3,0.302,0.4376,0.0288,0.0976,0.4437,-0.0668,0.1126,0.2456,0.69,0.243,0.23,0.1957,-0.4574,0.6086,-0.496
justice,sad,A1,A3,0.302,0.4376,0.7964,0.4174,0.1998,-0.5146,0.6004,0.2456,0.69,0.6488,0.4436,0.1454,-0.6496,0.7092,-0.1088
justice,safety,A1,A3,0.302,0.4376,0.223,0.3274,0.4793,-0.0312,0.0415,0.2456,0.69,0.3688,0.4706,0.2904,-0.3426,0.4192,-0.3777
justice,sandstorm,A1,A3,0.302,0.4376,0.3454,0.3636,0.4273,-0.1174,0.1453,0.2456,0.69,0.4604,0.3534,0.1856,-0.5514,0.6288,-0.4835
justice,sick,A1,A3,0.302,0.4376,0.4512,0.242,0.2909,-0.3448,0.4182,0.2456,0.69,0.5234,0.4454,0.204,-0.5224,0.5921,-0.1739
justice,tree,A1,A3,0.302,0.4376,0.0992,0.1328,0.4188,-0.102,0.1625,0.2456,0.69,0.2184,0.1714,0.1646,-0.4914,0.6708,-0.5083
lightning,mango,A1,A3,0.3756,0.51,0.0426,0.0602,0.4057,-0.1168,0.1885,0.322,0.4028,0.118,0.1944,0.4967,-0.0044,0.0067,0.1818
lightning,peace,A1,A3,0.3756,0.51,0.1886,0.5726,0.6546,0.2496,0.3093,0.322,0.4028,0.2756,0.7084,0.719,0.352,0.4379,-0.1286
lightning,peach,A1,A3,0.3756,0.51,0.0288,0.0976,0.4475,-0.0656,0.105,0.322,0.4028,0.243,0.23,0.4356,-0.0938,0.1288,-0.0238
lightning,sad,A1,A3,0.3756,0.51,0.7964,0.4174,0.2078,-0.5134,0.5844,0.322,0.4028,0.6488,0.4436,0.331,-0.286,0.338,0.2464
lightning,safety,A1,A3,0.3756,0.51,0.223,0.3274,0.4807,-0.03,0.0386,0.322,0.4028,0.3688,0.4706,0.5127,0.021,0.0254,0.0132
lightning,sandstorm,A1,A3,0.3756,0.51,0.3454,0.3636,0.4301,-0.1162,0.1398,0.322,0.4028,0.4604,0.3534,0.3873,-0.1878,0.2254,-0.0856
lightning,sick,A1,A3,0.3756,0.51,0.4512,0.242,0.2972,-0.3436,0.4056,0.322,0.4028,0.5234,0.4454,0.4063,-0.1588,0.1875,0.2181
lightning,tree,A1,A3,0.3756,0.51,0.0992,0.1328,0.4234,-0.1008,0.1533,0.322,0.4028,0.2184,0.1714,0.4083,-0.1278,0.1835,-0.0302
mango,peace,A1,A3,0.0426,0.0602,0.1886,0.5726,0.8109,0.3664,0.6219,0.118,0.1944,0.2756,0.7084,0.7708,0.3564,0.5416,0.0803
mango,peach,A1,A3,0.0426,0.0602,0.0288,0.0976,0.624,0.0512,0.2479,0.118,0.1944,0.243,0.23,0.4202,-0.0894,0.1596,0.0883
mango,sad,A1,A3,0.0426,0.0602,0.7964,0.4174,0.1729,-0.3966,0.6542,0.118,0.1944,0.6488,0.4436,0.3007,-0.2816,0.3987,0.2555
mango,safety,A1,A3,0.0426,0.0602,0.223,0.3274,0.585,0.0868,0.17,0.118,0.1944,0.3688,0.4706,0.5186,0.0254,0.0372,0.1328
mango,sandstorm,A1,A3,0.0426,0.0602,0.3454,0.3636,0.5005,6e-4,0.001,0.118,0.1944,0.4604,0.3534,0.3673,-0.1834,0.2654,-0.2644
mango,sick,A1,A3,0.0426,0.0602,0.4512,0.242,0.3041,-0.2268,0.3919,0.118,0.1944,0.5234,0.4454,0.3909,-0.1544,0.2182,0.1737
mango,tree,A1,A3,0.0426,0.0602,0.0992,0.1328,0.5282,0.016,0.0564,0.118,0.1944,0.2184,0.1714,0.381,-0.1234,0.238,-0.1816
