concept,color,weight,se,hex,barStroke,expCountry
sick,DH,0.6996,0.0429,#677f35,#677f35,usa
sick,DO,0.515,0.0443,#864d2b,#864d2b,usa
sick,DP,0.1616,0.0295,#723484,#723484,usa
sick,DR,0.4214,0.044,#8a2b38,#8a2b38,usa
sick,DY,0.73740000000000006,0.0401,#8a7527,#8a7527,usa
sick,LB,0.1804,0.0311,#aacffb,#aacffb,usa
sick,LC,0.2096,0.0346,#9de5e4,#9de5e4,usa
sick,LG,0.3106,0.0351,#95e2b8,#95e2b8,usa
sick,LH,0.4288,0.0425,#dbf099,#dbf099,usa
sick,LO,0.2968,0.0422,#fbc9a3,#fbc9a3,usa
sick,LP,0.1274,0.027,#dfa7fa,#dfa7fa,usa
sick,LR,0.212,0.0349,#fc9fa3,#fc9fa3,usa
sick,LY,0.3392,0.0383,#fff498,#fff498,usa
sick,MB,0.1786,0.0297,#7196c0,#7196c0,usa
sick,MC,0.2222,0.0352,#65acac,#65acac,usa
sick,MG,0.4232,0.0413,#62ae88,#62ae88,usa
sick,MH,0.6592,0.0351,#a0b668,#a0b668,usa
sick,MO,0.4076,0.0386,#ce916c,#ce916c,usa
sick,MP,0.1502,0.0284,#a66fbd,#a66fbd,usa
sick,MR,0.2618,0.0387,#c5666b,#c5666b,usa
sick,MY,0.5162,0.0377,#dab572,#dab572,usa
sick,SB,0.1246,0.0261,#4fa7ef,#4fa7ef,usa
sick,SC,0.1522,0.03,#27d1cd,#27d1cd,usa
sick,SG,0.336,0.0429,#04c981,#04c981,usa
sick,SH,0.4482,0.05,#bde638,#bde638,usa
sick,SO,0.3056,0.0407,#f89e2d,#f89e2d,usa
sick,SP,0.124,0.0259,#b740da,#b740da,usa
sick,SR,0.3264,0.0435,#f03a52,#f03a52,usa
sick,SY,0.3208,0.0473,#fff329,#fff329,usa
sick,WH,0.1844,0.0421,#ffffff,#000000,usa
tree,A1,0.0992,0.0189,#656168,#656168,usa
tree,A2,0.0934,0.0184,#9d97a0,#9d97a0,usa
tree,A3,0.1328,0.026,#d8cfdb,#d8cfdb,usa
tree,BK,0.138,0.0262,#323033,#323033,usa
tree,DB,0.1272,0.0221,#386089,#386089,usa
tree,DC,0.3622,0.0405,#297375,#297375,usa
tree,DG,0.8782,0.0264,#21704f,#21704f,usa
tree,DH,0.8018,0.0334,#677f35,#677f35,usa
tree,DO,0.652,0.0451,#864d2b,#864d2b,usa
tree,DP,0.052,0.0127,#723484,#723484,usa
tree,DR,0.1928,0.0329,#8a2b38,#8a2b38,usa
tree,DY,0.4092,0.0399,#8a7527,#8a7527,usa
tree,LB,0.1298,0.0232,#aacffb,#aacffb,usa
tree,LC,0.1636,0.0283,#9de5e4,#9de5e4,usa
tree,LG,0.3894,0.039,#95e2b8,#95e2b8,usa
tree,LH,0.3512,0.0389,#dbf099,#dbf099,usa
tree,LO,0.2118,0.0311,#fbc9a3,#fbc9a3,usa
tree,LP,0.084,0.0205,#dfa7fa,#dfa7fa,usa
tree,LR,0.1172,0.0225,#fc9fa3,#fc9fa3,usa
tree,LY,0.1948,0.0304,#fff498,#fff498,usa
tree,MB,0.1068,0.0209,#7196c0,#7196c0,usa
tree,MC,0.221,0.0311,#65acac,#65acac,usa
tree,MG,0.7166,0.0328,#62ae88,#62ae88,usa
tree,MH,0.707,0.0361,#a0b668,#a0b668,usa
tree,MO,0.2726,0.038,#ce916c,#ce916c,usa
tree,MP,0.0974,0.0204,#a66fbd,#a66fbd,usa
tree,MR,0.144,0.0265,#c5666b,#c5666b,usa
tree,MY,0.2668,0.035,#dab572,#dab572,usa
tree,SB,0.1318,0.0252,#4fa7ef,#4fa7ef,usa
tree,SC,0.1602,0.0296,#27d1cd,#27d1cd,usa
tree,SG,0.6686,0.0377,#04c981,#04c981,usa
tree,SH,0.4212,0.0378,#bde638,#bde638,usa
tree,SO,0.2038,0.0295,#f89e2d,#f89e2d,usa
tree,SP,0.0786,0.0159,#b740da,#b740da,usa
tree,SR,0.1256,0.0261,#f03a52,#f03a52,usa
tree,SY,0.2548,0.0365,#fff329,#fff329,usa
tree,WH,0.1258,0.0248,#ffffff,#000000,usa
