concept,color,weight,se,hex,barStroke,expCountry
death,LP,0.065,0.0187,#dfa7fa,#dfa7fa,usa
death,LR,0.0836,0.0215,#fc9fa3,#fc9fa3,usa
death,LY,0.0734,0.0151,#fff498,#fff498,usa
death,MB,0.138,0.0311,#7196c0,#7196c0,usa
death,MC,0.083,0.0164,#65acac,#65acac,usa
death,MG,0.0794,0.0161,#62ae88,#62ae88,usa
death,MH,0.154,0.0307,#a0b668,#a0b668,usa
death,MO,0.1522,0.0302,#ce916c,#ce916c,usa
death,MP,0.0938,0.0243,#a66fbd,#a66fbd,usa
death,MR,0.1312,0.0303,#c5666b,#c5666b,usa
death,MY,0.1268,0.0275,#dab572,#dab572,usa
death,SB,0.0698,0.0182,#4fa7ef,#4fa7ef,usa
death,SC,0.058,0.0145,#27d1cd,#27d1cd,usa
death,SG,0.0708,0.0141,#04c981,#04c981,usa
death,SH,0.0644,0.0159,#bde638,#bde638,usa
death,SO,0.1048,0.0212,#f89e2d,#f89e2d,usa
death,SP,0.0856,0.0233,#b740da,#b740da,usa
death,SR,0.2494,0.0456,#f03a52,#f03a52,usa
death,SY,0.096,0.0265,#fff329,#fff329,usa
death,WH,0.4182,0.0587,#ffffff,#000000,usa
happy,A1,0.1012,0.0235,#656168,#656168,usa
happy,A2,0.1154,0.0227,#9d97a0,#9d97a0,usa
happy,A3,0.3008,0.0408,#d8cfdb,#d8cfdb,usa
happy,BK,0.0908,0.025,#323033,#323033,usa
happy,DB,0.3926,0.0405,#386089,#386089,usa
happy,DC,0.3704,0.039,#297375,#297375,usa
happy,DG,0.363,0.0386,#21704f,#21704f,usa
happy,DH,0.281,0.0342,#677f35,#677f35,usa
happy,DO,0.1576,0.0222,#864d2b,#864d2b,usa
happy,DP,0.436,0.0432,#723484,#723484,usa
happy,DR,0.3084,0.0392,#8a2b38,#8a2b38,usa
happy,DY,0.1966,0.0301,#8a7527,#8a7527,usa
happy,LB,0.5664,0.0396,#aacffb,#aacffb,usa
happy,LC,0.62,0.0396,#9de5e4,#9de5e4,usa
happy,LG,0.6034,0.0411,#95e2b8,#95e2b8,usa
happy,LH,0.5776,0.0407,#dbf099,#dbf099,usa
