concept,color,weight,se,hex,barStroke,expCountry
sandstorm,MO,0.5322,0.0479,#ce916c,#ce916c,mdg
sandstorm,MP,0.1912,0.0365,#a66fbd,#a66fbd,mdg
sandstorm,MR,0.2294,0.0389,#c5666b,#c5666b,mdg
sandstorm,MY,0.5384,0.053,#dab572,#dab572,mdg
sandstorm,SB,0.1098,0.0206,#4fa7ef,#4fa7ef,mdg
sandstorm,SC,0.175,0.0311,#27d1cd,#27d1cd,mdg
sandstorm,SG,0.1528,0.0312,#04c981,#04c981,mdg
sandstorm,SH,0.2592,0.0457,#bde638,#bde638,mdg
sandstorm,SO,0.3536,0.0486,#f89e2d,#f89e2d,mdg
sandstorm,SP,0.1526,0.0314,#b740da,#b740da,mdg
sandstorm,SR,0.2004,0.036,#f03a52,#f03a52,mdg
sandstorm,SY,0.3272,0.0478,#fff329,#fff329,mdg
sandstorm,WH,0.3752,0.0529,#ffffff,#000000,mdg
sick,A1,0.5234,0.0536,#656168,#656168,mdg
sick,A2,0.5204,0.0507,#9d97a0,#9d97a0,mdg
sick,A3,0.4454,0.0552,#d8cfdb,#d8cfdb,mdg
sick,BK,0.5416,0.054,#323033,#323033,mdg
sick,DB,0.2758,0.0447,#386089,#386089,mdg
sick,DC,0.2948,0.0473,#297375,#297375,mdg
sick,DG,0.316,0.0461,#21704f,#21704f,mdg
sick,DH,0.3546,0.0474,#677f35,#677f35,mdg
sick,DO,0.3264,0.0468,#864d2b,#864d2b,mdg
sick,DP,0.4504,0.0543,#723484,#723484,mdg
sick,DR,0.4266,0.0532,#8a2b38,#8a2b38,mdg
sick,DY,0.3178,0.0473,#8a7527,#8a7527,mdg
sick,LB,0.373,0.0512,#aacffb,#aacffb,mdg
sick,LC,0.3172,0.0418,#9de5e4,#9de5e4,mdg
sick,LG,0.3378,0.0462,#95e2b8,#95e2b8,mdg
sick,LH,0.353,0.048,#dbf099,#dbf099,mdg
sick,LO,0.3082,0.0452,#fbc9a3,#fbc9a3,mdg
sick,LP,0.3828,0.0489,#dfa7fa,#dfa7fa,mdg
sick,LR,0.2924,0.0456,#fc9fa3,#fc9fa3,mdg
sick,LY,0.2362,0.041,#fff498,#fff498,mdg
sick,MB,0.3594,0.0464,#7196c0,#7196c0,mdg
sick,MC,0.3762,0.0446,#65acac,#65acac,mdg
sick,MG,0.3484,0.0481,#62ae88,#62ae88,mdg
sick,MH,0.3572,0.0465,#a0b668,#a0b668,mdg
sick,MO,0.2638,0.0409,#ce916c,#ce916c,mdg
sick,MP,0.402,0.0541,#a66fbd,#a66fbd,mdg
sick,MR,0.3438,0.0525,#c5666b,#c5666b,mdg
sick,MY,0.2784,0.0414,#dab572,#dab572,mdg
sick,SB,0.2738,0.0455,#4fa7ef,#4fa7ef,mdg
sick,SC,0.3056,0.0469,#27d1cd,#27d1cd,mdg
sick,SG,0.2636,0.046,#04c981,#04c981,mdg
sick,SH,0.2192,0.0401,#bde638,#bde638,mdg
sick,SO,0.137,0.0263,#f89e2d,#f89e2d,mdg
sick,SP,0.3604,0.0541,#b740da,#b740da,mdg
sick,SR,0.3258,0.0502,#f03a52,#f03a52,mdg
sick,SY,0.1806,0.0334,#fff329,#fff329,mdg
sick,WH,0.4664,0.0572,#ffffff,#000000,mdg
tree,A1,0.2184,0.0408,#656168,#656168,mdg
tree,A2,0.2534,0.0466,#9d97a0,#9d97a0,mdg
tree,A3,0.1714,0.0308,#d8cfdb,#d8cfdb,mdg
tree,BK,0.254,0.0438,#323033,#323033,mdg
tree,DB,0.1824,0.0357,#386089,#386089,mdg
tree,DC,0.3126,0.0456,#297375,#297375,mdg
tree,DG,0.742,0.0438,#21704f,#21704f,mdg
tree,DH,0.561,0.0491,#677f35,#677f35,mdg
tree,DO,0.3802,0.0509,#864d2b,#864d2b,mdg
tree,DP,0.0852,0.0209,#723484,#723484,mdg
tree,DR,0.1658,0.0333,#8a2b38,#8a2b38,mdg
tree,DY,0.3624,0.0475,#8a7527,#8a7527,mdg
tree,LB,0.2656,0.0452,#aacffb,#aacffb,mdg
tree,LC,0.299,0.0478,#9de5e4,#9de5e4,mdg
tree,LG,0.5152,0.0494,#95e2b8,#95e2b8,mdg
tree,LH,0.3258,0.0427,#dbf099,#dbf099,mdg
tree,LO,0.2852,0.0425,#fbc9a3,#fbc9a3,mdg
tree,LP,0.1806,0.0357,#dfa7fa,#dfa7fa,mdg
tree,LR,0.193,0.0352,#fc9fa3,#fc9fa3,mdg
tree,LY,0.2218,0.0384,#fff498,#fff498,mdg
tree,MB,0.187,0.0335,#7196c0,#7196c0,mdg
tree,MC,0.2656,0.0417,#65acac,#65acac,mdg
tree,MG,0.691,0.0432,#62ae88,#62ae88,mdg
tree,MH,0.4288,0.0498,#a0b668,#a0b668,mdg
tree,MO,0.2598,0.0436,#ce916c,#ce916c,mdg
tree,MP,0.1514,0.0283,#a66fbd,#a66fbd,mdg
tree,MR,0.1986,0.0374,#c5666b,#c5666b,mdg
tree,MY,0.3272,0.0437,#dab572,#dab572,mdg
tree,SB,0.1966,0.0366,#4fa7ef,#4fa7ef,mdg
tree,SC,0.1648,0.034,#27d1cd,#27d1cd,mdg
tree,SG,0.7024,0.0499,#04c981,#04c981,mdg
tree,SH,0.4124,0.0482,#bde638,#bde638,mdg
tree,SO,0.226,0.0403,#f89e2d,#f89e2d,mdg
tree,SP,0.1718,0.0386,#b740da,#b740da,mdg
tree,SR,0.1748,0.0362,#f03a52,#f03a52,mdg
tree,SY,0.27,0.0425,#fff329,#fff329,mdg
tree,WH,0.157,0.0349,#ffffff,#000000,mdg
