country,concept,color,n_participants,n_ratings,mean_rating,sd_rating,se_rating
USA,angry,A1,50,50,0.3736,0.34129262087133455,0.04826606531741001
USA,angry,A2,50,50,0.34380000000000005,0.31092941649322325,0.0439720597745469
USA,angry,A3,50,50,0.1376,0.2003217819572565,0.02832977808826981
USA,angry,BK,50,50,0.6537999999999999,0.3439499844988144,0.048641873285623916
USA,angry,DB,50,50,0.1306,0.19535848785120705,0.02762786230438765
USA,angry,DC,50,50,0.1014,0.17454325234386897,0.0246841434685409
USA,angry,DG,50,50,0.1384,0.18974053174731828,0.02683336333289403
USA,angry,DH,50,50,0.1616,0.22575370361054445,0.03192639494019879
USA,angry,DO,50,50,0.324,0.2801165938005976,0.03961446859985604
USA,angry,DP,50,50,0.21280000000000002,0.2830593793621719,0.04003064132508945
USA,angry,DR,50,50,0.7922,0.28370212892959346,0.04012153984063514
USA,angry,DY,50,50,0.2382,0.2349267363000036,0.03322365766395128
USA,angry,LB,50,50,0.0746,0.15644272603931525,0.022124342489941818
USA,angry,LC,50,50,0.079,0.1536262360671616,0.02172603065825107
USA,angry,LG,50,50,0.069,0.15063471155922398,0.02130296520512138
USA,angry,LH,50,50,0.091,0.16443161223451172,0.02325414161049202
USA,angry,LO,50,50,0.0888,0.13609180574831364,0.01924628774171099
USA,angry,LP,50,50,0.07780000000000001,0.15767817909674536,0.022299061936891115
USA,angry,LR,50,50,0.17859999999999998,0.22976483097075673,0.03249365401152059
USA,angry,LY,50,50,0.12480000000000001,0.21317081394592308,0.03014690561844361
USA,angry,MB,50,50,0.0926,0.17029158666767985,0.024082867142346618
USA,angry,MC,50,50,0.0886,0.15772631941668672,0.022305870006226917
USA,angry,MG,50,50,0.0964,0.148787754598177,0.021041766046778175
USA,angry,MH,50,50,0.11019999999999999,0.15703229877048497,0.022207720665184373
USA,angry,MO,50,50,0.19519999999999998,0.23588513288964894,0.03335919540947213
USA,angry,MP,50,50,0.1072,0.1923648743870855,0.027204501428241313
USA,angry,MR,50,50,0.4692,0.31139475570014186,0.044037868676299725
USA,angry,MY,50,50,0.1148,0.17337278462601793,0.024518614336450417
USA,angry,SB,50,50,0.0806,0.16807930586846345,0.023770003391343674
USA,angry,SC,50,50,0.0872,0.1722603629772712,0.02436129415817691
USA,angry,SG,50,50,0.0742,0.12424613491298764,0.017571056906638443
USA,angry,SH,50,50,0.132,0.18822478962286407,0.026619005025947697
USA,angry,SO,50,50,0.3736,0.3080137818278889,0.0435597267658828
USA,angry,SP,50,50,0.1408,0.20745139583201913,0.02933805775188708
USA,angry,SR,50,50,0.7332,0.3401406671796064,0.04810315446400324
USA,angry,SY,50,50,0.23260000000000003,0.2911890472261788,0.04118034998017617
USA,angry,WH,50,50,0.1394,0.24767828046125662,0.035026998333355625
USA,banana,A1,50,50,0.0524,0.12767241243886318,0.018055605721193174
USA,banana,A2,50,50,0.0712,0.14312318085467213,0.020240674345465462
USA,banana,A3,50,50,0.0678,0.123821629444808,0.017511022767598323
USA,banana,BK,50,50,0.1832,0.2804401787860488,0.03966023042735658
USA,banana,DB,50,50,0.0426,0.09075218555866008,0.012834297163205681
USA,banana,DC,50,50,0.056799999999999996,0.10416705578158618,0.01473144630387939
USA,banana,DG,50,50,0.16820000000000002,0.2134047605765502,0.030179990668234048
USA,banana,DH,50,50,0.23,0.2361511103907316,0.03339681030840386
USA,banana,DO,50,50,0.272,0.27229935507729397,0.038508944097575624
USA,banana,DP,50,50,0.0438,0.10600134770032744,0.014990854354762915
USA,banana,DR,50,50,0.063,0.11205410500726688,0.015846843502085577
USA,banana,DY,50,50,0.30079999999999996,0.2746934469475353,0.038847519816821864
USA,banana,LB,50,50,0.0416,0.08325912341991754,0.011774618153174276
USA,banana,LC,50,50,0.0436,0.08326892749227821,0.011776004658384171
USA,banana,LG,50,50,0.09699999999999999,0.15176848641726567,0.021463305183213398
USA,banana,LH,50,50,0.4324,0.2926763204829331,0.041390682181241846
USA,banana,LO,50,50,0.2646,0.2532338598116413,0.03581267589977102
USA,banana,LP,50,50,0.048,0.09473916932336716,0.013398141814506692
USA,banana,LR,50,50,0.0946,0.16839227768420223,0.023814264289989506
USA,banana,LY,50,50,0.7095999999999999,0.247592159712339,0.035014819020243525
USA,banana,MB,50,50,0.0364,0.07438893926999017,0.010520184680616862
USA,banana,MC,50,50,0.0492,0.09135800848467372,0.012919973463042186
USA,banana,MG,50,50,0.1134,0.17838973613743497,0.025228118423371835
USA,banana,MH,50,50,0.29960000000000003,0.2480368636196759,0.03507770964994314
USA,banana,MO,50,50,0.22060000000000002,0.25750300176574126,0.03641642374488943
USA,banana,MP,50,50,0.054400000000000004,0.10939835464941873,0.01547126368465097
USA,banana,MR,50,50,0.046000000000000006,0.1018001242932564,0.014396711642678998
USA,banana,MY,50,50,0.446,0.31659540909688577,0.04477335213298742
USA,banana,SB,50,50,0.0452,0.08969881577267567,0.012685328179452362
USA,banana,SC,50,50,0.045,0.08871532090493338,0.012546241001403814
USA,banana,SG,50,50,0.1744,0.22328859334584772,0.031577775703290865
USA,banana,SH,50,50,0.3958,0.27135404992032686,0.03837525776021921
USA,banana,SO,50,50,0.2718,0.29812810559713887,0.0421616810260072
USA,banana,SP,50,50,0.042199999999999994,0.10156509926030251,0.01436347408376894
USA,banana,SR,50,50,0.0434,0.10275014275773389,0.014531064542375892
USA,banana,SY,50,50,0.9501999999999999,0.10005080342159241,0.014149320312514044
USA,banana,WH,50,50,0.1168,0.21448980756907868,0.030333439485498638
USA,death,A1,50,50,0.775,0.20494150484507345,0.028983105564505424
