country,concept_a,concept_b,color_1,color_2,A_to_C1,B_to_C2,A_to_C2,B_to_C1
MDG,angry,banana,A3,DH,0.26080000000000003,0.4152,0.2688,0.187
MDG,angry,banana,A3,DO,0.26080000000000003,0.1568,0.3696,0.187
MDG,angry,banana,A3,DP,0.26080000000000003,0.156,0.26940000000000003,0.187
MDG,angry,banana,A3,DR,0.26080000000000003,0.13140000000000002,0.6368,0.187
MDG,angry,banana,A3,DY,0.26080000000000003,0.3506,0.29960000000000003,0.187
MDG,angry,banana,A3,LB,0.26080000000000003,0.128,0.1918,0.187
MDG,angry,banana,A3,LC,0.26080000000000003,0.1574,0.2486,0.187
MDG,angry,banana,A3,LG,0.26080000000000003,0.3196,0.2164,0.187
MDG,angry,banana,A3,LH,0.26080000000000003,0.4714,0.2452,0.187
MDG,angry,banana,A3,LO,0.26080000000000003,0.2138,0.24719999999999998,0.187
MDG,angry,banana,A3,LP,0.26080000000000003,0.16240000000000002,0.28600000000000003,0.187
MDG,angry,banana,A3,LR,0.26080000000000003,0.1704,0.29059999999999997,0.187
MDG,angry,banana,A3,LY,0.26080000000000003,0.5138,0.1766,0.187
MDG,angry,banana,A3,MB,0.26080000000000003,0.08839999999999999,0.2364,0.187
MDG,angry,banana,A3,MC,0.26080000000000003,0.1772,0.23420000000000002,0.187
MDG,angry,banana,A3,MG,0.26080000000000003,0.48519999999999996,0.22460000000000002,0.187
MDG,angry,banana,A3,MH,0.26080000000000003,0.4936,0.2696,0.187
MDG,angry,banana,A3,MO,0.26080000000000003,0.23099999999999998,0.23079999999999998,0.187
MDG,angry,banana,A3,MP,0.26080000000000003,0.1404,0.1816,0.187
MDG,angry,banana,A3,MR,0.26080000000000003,0.1646,0.3636,0.187
MDG,angry,banana,A3,MY,0.26080000000000003,0.4714,0.20800000000000002,0.187
MDG,angry,banana,A3,SB,0.26080000000000003,0.1002,0.1782,0.187
MDG,angry,banana,A3,SC,0.26080000000000003,0.1442,0.2216,0.187
MDG,angry,banana,A3,SG,0.26080000000000003,0.5318,0.18580000000000002,0.187
MDG,angry,banana,A3,SH,0.26080000000000003,0.6356,0.247,0.187
MDG,angry,banana,A3,SO,0.26080000000000003,0.424,0.3094,0.187
MDG,angry,banana,A3,SP,0.26080000000000003,0.14859999999999998,0.252,0.187
MDG,angry,banana,A3,SR,0.26080000000000003,0.16219999999999998,0.621,0.187
MDG,angry,banana,A3,SY,0.26080000000000003,0.7812,0.3104,0.187
MDG,angry,banana,A3,WH,0.26080000000000003,0.21359999999999998,0.1804,0.187
MDG,angry,banana,BK,DB,0.5532,0.1018,0.21,0.14800000000000002
MDG,angry,banana,BK,DC,0.5532,0.1208,0.24280000000000002,0.14800000000000002
MDG,angry,banana,BK,DG,0.5532,0.4858,0.26239999999999997,0.14800000000000002
MDG,angry,banana,BK,DH,0.5532,0.4152,0.2688,0.14800000000000002
MDG,angry,banana,BK,DO,0.5532,0.1568,0.3696,0.14800000000000002
MDG,angry,banana,BK,DP,0.5532,0.156,0.26940000000000003,0.14800000000000002
MDG,angry,banana,BK,DR,0.5532,0.13140000000000002,0.6368,0.14800000000000002
MDG,angry,banana,BK,DY,0.5532,0.3506,0.29960000000000003,0.14800000000000002
MDG,angry,banana,BK,LB,0.5532,0.128,0.1918,0.14800000000000002
MDG,angry,banana,BK,LC,0.5532,0.1574,0.2486,0.14800000000000002
MDG,angry,banana,BK,LG,0.5532,0.3196,0.2164,0.14800000000000002
MDG,angry,banana,BK,LH,0.5532,0.4714,0.2452,0.14800000000000002
MDG,angry,banana,BK,LO,0.5532,0.2138,0.24719999999999998,0.14800000000000002
MDG,angry,banana,BK,LP,0.5532,0.16240000000000002,0.28600000000000003,0.14800000000000002
MDG,angry,banana,BK,LR,0.5532,0.1704,0.29059999999999997,0.14800000000000002
MDG,angry,banana,BK,LY,0.5532,0.5138,0.1766,0.14800000000000002
MDG,angry,banana,BK,MB,0.5532,0.08839999999999999,0.2364,0.14800000000000002
MDG,angry,banana,BK,MC,0.5532,0.1772,0.23420000000000002,0.14800000000000002
MDG,angry,banana,BK,MG,0.5532,0.48519999999999996,0.22460000000000002,0.14800000000000002
MDG,angry,banana,BK,MH,0.5532,0.4936,0.2696,0.14800000000000002
MDG,angry,banana,BK,MO,0.5532,0.23099999999999998,0.23079999999999998,0.14800000000000002
MDG,angry,banana,BK,MP,0.5532,0.1404,0.1816,0.14800000000000002
MDG,angry,banana,BK,MR,0.5532,0.1646,0.3636,0.14800000000000002
MDG,angry,banana,BK,MY,0.5532,0.4714,0.20800000000000002,0.14800000000000002
MDG,angry,banana,BK,SB,0.5532,0.1002,0.1782,0.14800000000000002
MDG,angry,banana,BK,SC,0.5532,0.1442,0.2216,0.14800000000000002
MDG,angry,banana,BK,SG,0.5532,0.5318,0.18580000000000002,0.14800000000000002
MDG,angry,banana,BK,SH,0.5532,0.6356,0.247,0.14800000000000002
MDG,angry,banana,BK,SO,0.5532,0.424,0.3094,0.14800000000000002
MDG,angry,banana,BK,SP,0.5532,0.14859999999999998,0.252,0.14800000000000002
MDG,angry,banana,BK,SR,0.5532,0.16219999999999998,0.621,0.14800000000000002
MDG,angry,banana,BK,SY,0.5532,0.7812,0.3104,0.14800000000000002
MDG,angry,banana,BK,WH,0.5532,0.21359999999999998,0.1804,0.14800000000000002
MDG,angry,banana,DB,DC,0.21,0.1208,0.24280000000000002,0.1018
MDG,angry,banana,DB,DG,0.21,0.4858,0.26239999999999997,0.1018
MDG,angry,banana,DB,DH,0.21,0.4152,0.2688,0.1018
MDG,angry,banana,DB,DO,0.21,0.1568,0.3696,0.1018
MDG,angry,banana,DB,DP,0.21,0.156,0.26940000000000003,0.1018
MDG,angry,banana,DB,DR,0.21,0.13140000000000002,0.6368,0.1018
MDG,angry,banana,DB,DY,0.21,0.3506,0.29960000000000003,0.1018
MDG,angry,banana,DB,LB,0.21,0.128,0.1918,0.1018
MDG,angry,banana,DB,LC,0.21,0.1574,0.2486,0.1018
MDG,angry,banana,DB,LG,0.21,0.3196,0.2164,0.1018
MDG,angry,banana,DB,LH,0.21,0.4714,0.2452,0.1018
MDG,angry,banana,DB,LO,0.21,0.2138,0.24719999999999998,0.1018
MDG,angry,banana,DB,LP,0.21,0.16240000000000002,0.28600000000000003,0.1018
MDG,angry,banana,DB,LR,0.21,0.1704,0.29059999999999997,0.1018
MDG,angry,banana,DB,LY,0.21,0.5138,0.1766,0.1018
MDG,angry,banana,DB,MB,0.21,0.08839999999999999,0.2364,0.1018
MDG,angry,banana,DB,MC,0.21,0.1772,0.23420000000000002,0.1018
MDG,angry,banana,DB,MG,0.21,0.48519999999999996,0.22460000000000002,0.1018
MDG,angry,banana,DB,MH,0.21,0.4936,0.2696,0.1018
MDG,angry,banana,DB,MO,0.21,0.23099999999999998,0.23079999999999998,0.1018
MDG,angry,banana,DB,MP,0.21,0.1404,0.1816,0.1018
MDG,angry,banana,DB,MR,0.21,0.1646,0.3636,0.1018
MDG,angry,banana,DB,MY,0.21,0.4714,0.20800000000000002,0.1018
MDG,angry,banana,DB,SB,0.21,0.1002,0.1782,0.1018
MDG,angry,banana,DB,SC,0.21,0.1442,0.2216,0.1018
MDG,angry,banana,DB,SG,0.21,0.5318,0.18580000000000002,0.1018
MDG,angry,banana,DB,SH,0.21,0.6356,0.247,0.1018
MDG,angry,banana,DB,SO,0.21,0.424,0.3094,0.1018
MDG,angry,banana,DB,SP,0.21,0.14859999999999998,0.252,0.1018
MDG,angry,banana,DB,SR,0.21,0.16219999999999998,0.621,0.1018
MDG,angry,banana,DB,SY,0.21,0.7812,0.3104,0.1018
MDG,angry,banana,DB,WH,0.21,0.21359999999999998,0.1804,0.1018
MDG,angry,banana,DC,DG,0.24280000000000002,0.4858,0.26239999999999997,0.1208
