expCountry,concept,color,weight,se,hex,barStroke
usa,sick,SH,0.448,0.05,#bde638,#bde638
usa,sick,SO,0.306,0.041,#f89e2d,#f89e2d
usa,sick,SP,0.124,0.026,#b740da,#b740da
usa,sick,SR,0.326,0.044,#f03a52,#f03a52
usa,sick,SY,0.321,0.047,#fff329,#fff329
usa,sick,WH,0.184,0.042,#ffffff,#000000
usa,tree,A1,0.099,0.019,#656168,#656168
usa,tree,A2,0.093,0.018,#9d97a0,#9d97a0
usa,tree,A3,0.133,0.026,#d8cfdb,#d8cfdb
usa,tree,BK,0.138,0.026,#323033,#323033
usa,tree,DB,0.127,0.022,#386089,#386089
usa,tree,DC,0.362,0.041,#297375,#297375
usa,tree,DG,0.878,0.026,#21704f,#21704f
usa,tree,DH,0.802,0.033,#677f35,#677f35
usa,tree,DO,0.652,0.045,#864d2b,#864d2b
usa,tree,DP,0.052,0.013,#723484,#723484
usa,tree,DR,0.193,0.033,#8a2b38,#8a2b38
usa,tree,DY,0.409,0.04,#8a7527,#8a7527
usa,tree,LB,0.13,0.023,#aacffb,#aacffb
usa,tree,LC,0.164,0.028,#9de5e4,#9de5e4
usa,tree,LG,0.389,0.039,#95e2b8,#95e2b8
usa,tree,LH,0.351,0.039,#dbf099,#dbf099
usa,tree,LO,0.212,0.031,#fbc9a3,#fbc9a3
usa,tree,LP,0.084,0.02,#dfa7fa,#dfa7fa
usa,tree,LR,0.117,0.022,#fc9fa3,#fc9fa3
usa,tree,LY,0.195,0.03,#fff498,#fff498
usa,tree,MB,0.107,0.021,#7196c0,#7196c0
usa,tree,MC,0.221,0.031,#65acac,#65acac
usa,tree,MG,0.717,0.033,#62ae88,#62ae88
usa,tree,MH,0.707,0.036,#a0b668,#a0b668
usa,tree,MO,0.273,0.038,#ce916c,#ce916c
usa,tree,MP,0.097,0.02,#a66fbd,#a66fbd
usa,tree,MR,0.144,0.027,#c5666b,#c5666b
usa,tree,MY,0.267,0.035,#dab572,#dab572
usa,tree,SB,0.132,0.025,#4fa7ef,#4fa7ef
usa,tree,SC,0.16,0.03,#27d1cd,#27d1cd
usa,tree,SG,0.669,0.038,#04c981,#04c981
usa,tree,SH,0.421,0.038,#bde638,#bde638
usa,tree,SO,0.204,0.029,#f89e2d,#f89e2d
usa,tree,SP,0.079,0.016,#b740da,#b740da
usa,tree,SR,0.126,0.026,#f03a52,#f03a52
usa,tree,SY,0.255,0.037,#fff329,#fff329
usa,tree,WH,0.126,0.025,#ffffff,#000000
