expCountry,concept,color,weight,se,hex,barStroke
usa,death,MH,0.154,0.031,#a0b668,#a0b668
usa,death,MO,0.152,0.03,#ce916c,#ce916c
usa,death,MP,0.094,0.024,#a66fbd,#a66fbd
usa,death,MR,0.131,0.03,#c5666b,#c5666b
usa,death,MY,0.127,0.027,#dab572,#dab572
usa,death,SB,0.07,0.018,#4fa7ef,#4fa7ef
usa,death,SC,0.058,0.015,#27d1cd,#27d1cd
usa,death,SG,0.071,0.014,#04c981,#04c981
usa,death,SH,0.064,0.016,#bde638,#bde638
usa,death,SO,0.105,0.021,#f89e2d,#f89e2d
usa,death,SP,0.086,0.023,#b740da,#b740da
usa,death,SR,0.249,0.046,#f03a52,#f03a52
usa,death,SY,0.096,0.027,#fff329,#fff329
usa,death,WH,0.418,0.059,#ffffff,#000000
usa,happy,A1,0.101,0.024,#656168,#656168
usa,happy,A2,0.115,0.023,#9d97a0,#9d97a0
usa,happy,A3,0.301,0.041,#d8cfdb,#d8cfdb
usa,happy,BK,0.091,0.025,#323033,#323033
usa,happy,DB,0.393,0.04,#386089,#386089
usa,happy,DC,0.37,0.039,#297375,#297375
usa,happy,DG,0.363,0.039,#21704f,#21704f
usa,happy,DH,0.281,0.034,#677f35,#677f35
usa,happy,DO,0.158,0.022,#864d2b,#864d2b
usa,happy,DP,0.436,0.043,#723484,#723484
usa,happy,DR,0.308,0.039,#8a2b38,#8a2b38
usa,happy,DY,0.197,0.03,#8a7527,#8a7527
usa,happy,LB,0.566,0.04,#aacffb,#aacffb
usa,happy,LC,0.62,0.04,#9de5e4,#9de5e4
usa,happy,LG,0.603,0.041,#95e2b8,#95e2b8
usa,happy,LH,0.578,0.041,#dbf099,#dbf099
usa,happy,LO,0.506,0.04,#fbc9a3,#fbc9a3
usa,happy,LP,0.645,0.041,#dfa7fa,#dfa7fa
usa,happy,LR,0.631,0.039,#fc9fa3,#fc9fa3
usa,happy,LY,0.7,0.041,#fff498,#fff498
usa,happy,MB,0.382,0.037,#7196c0,#7196c0
usa,happy,MC,0.418,0.039,#65acac,#65acac
usa,happy,MG,0.464,0.039,#62ae88,#62ae88
usa,happy,MH,0.384,0.034,#a0b668,#a0b668
usa,happy,MO,0.35,0.034,#ce916c,#ce916c
usa,happy,MP,0.508,0.04,#a66fbd,#a66fbd
usa,happy,MR,0.438,0.038,#c5666b,#c5666b
usa,happy,MY,0.47,0.042,#dab572,#dab572
usa,happy,SB,0.635,0.044,#4fa7ef,#4fa7ef
usa,happy,SC,0.651,0.039,#27d1cd,#27d1cd
usa,happy,SG,0.608,0.04,#04c981,#04c981
usa,happy,SH,0.649,0.037,#bde638,#bde638
usa,happy,SO,0.662,0.039,#f89e2d,#f89e2d
usa,happy,SP,0.553,0.044,#b740da,#b740da
usa,happy,SR,0.577,0.042,#f03a52,#f03a52
usa,happy,SY,0.778,0.037,#fff329,#fff329
usa,happy,WH,0.494,0.045,#ffffff,#000000
usa,justice,A1,0.302,0.05,#656168,#656168
usa,justice,A2,0.333,0.048,#9d97a0,#9d97a0
usa,justice,A3,0.438,0.05,#d8cfdb,#d8cfdb
usa,justice,BK,0.436,0.056,#323033,#323033
usa,justice,DB,0.437,0.045,#386089,#386089
usa,justice,DC,0.33,0.043,#297375,#297375
usa,justice,DG,0.346,0.042,#21704f,#21704f
usa,justice,DH,0.212,0.036,#677f35,#677f35
usa,justice,DO,0.21,0.04,#864d2b,#864d2b
usa,justice,DP,0.326,0.046,#723484,#723484
usa,justice,DR,0.327,0.049,#8a2b38,#8a2b38
usa,justice,DY,0.137,0.031,#8a7527,#8a7527
usa,justice,LB,0.355,0.042,#aacffb,#aacffb
usa,justice,LC,0.238,0.037,#9de5e4,#9de5e4
usa,justice,LG,0.206,0.037,#95e2b8,#95e2b8
usa,justice,LH,0.182,0.032,#dbf099,#dbf099
usa,justice,LO,0.193,0.036,#fbc9a3,#fbc9a3
usa,justice,LP,0.212,0.035,#dfa7fa,#dfa7fa
usa,justice,LR,0.197,0.036,#fc9fa3,#fc9fa3
usa,justice,LY,0.279,0.042,#fff498,#fff498
usa,justice,MB,0.401,0.044,#7196c0,#7196c0
usa,justice,MC,0.319,0.039,#65acac,#65acac
usa,justice,MG,0.249,0.041,#62ae88,#62ae88
usa,justice,MH,0.18,0.036,#a0b668,#a0b668
usa,justice,MO,0.21,0.031,#ce916c,#ce916c
usa,justice,MP,0.263,0.043,#a66fbd,#a66fbd
usa,justice,MR,0.205,0.035,#c5666b,#c5666b
usa,justice,MY,0.295,0.041,#dab572,#dab572
usa,justice,SB,0.384,0.044,#4fa7ef,#4fa7ef
usa,justice,SC,0.286,0.041,#27d1cd,#27d1cd
usa,justice,SG,0.232,0.037,#04c981,#04c981
usa,justice,SH,0.18,0.034,#bde638,#bde638
usa,justice,SO,0.255,0.041,#f89e2d,#f89e2d
usa,justice,SP,0.224,0.041,#b740da,#b740da
usa,justice,SR,0.28,0.046,#f03a52,#f03a52
usa,justice,SY,0.27,0.044,#fff329,#fff329
usa,justice,WH,0.548,0.056,#ffffff,#000000
usa,lightning,A1,0.376,0.05,#656168,#656168
usa,lightning,A2,0.31,0.045,#9d97a0,#9d97a0
usa,lightning,A3,0.51,0.051,#d8cfdb,#d8cfdb
usa,lightning,BK,0.381,0.052,#323033,#323033
usa,lightning,DB,0.177,0.032,#386089,#386089
usa,lightning,DC,0.07,0.017,#297375,#297375
usa,lightning,DG,0.045,0.011,#21704f,#21704f
usa,lightning,DH,0.051,0.012,#677f35,#677f35
usa,lightning,DO,0.086,0.023,#864d2b,#864d2b
usa,lightning,DP,0.086,0.023,#723484,#723484
usa,lightning,DR,0.098,0.027,#8a2b38,#8a2b38
