progressBlock,color,progressColor,ans,conceptFr,expCountry,ID
1,WH,1,0,pêche,mdg3,20240312-1051-51517
1,LY,2,64,pêche,mdg3,20240312-1051-51517
1,SY,3,0,pêche,mdg3,20240312-1051-51517
1,MY,4,55,pêche,mdg3,20240312-1051-51517
1,DH,5,46,pêche,mdg3,20240312-1051-51517
1,SO,6,0,pêche,mdg3,20240312-1051-51517
1,MO,7,32,pêche,mdg3,20240312-1051-51517
1,SP,8,0,pêche,mdg3,20240312-1051-51517
1,DP,9,0,pêche,mdg3,20240312-1051-51517
1,DR,10,65,pêche,mdg3,20240312-1051-51517
1,DG,11,57,pêche,mdg3,20240312-1051-51517
1,DC,12,0,pêche,mdg3,20240312-1051-51517
1,DY,13,13,pêche,mdg3,20240312-1051-51517
1,SB,14,0,pêche,mdg3,20240312-1051-51517
1,SG,15,0,pêche,mdg3,20240312-1051-51517
1,MH,16,35,pêche,mdg3,20240312-1051-51517
1,A1,17,0,pêche,mdg3,20240312-1051-51517
1,LB,18,0,pêche,mdg3,20240312-1051-51517
1,MP,19,0,pêche,mdg3,20240312-1051-51517
1,DO,20,20,pêche,mdg3,20240312-1051-51517
1,LR,21,64,pêche,mdg3,20240312-1051-51517
1,MG,22,57,pêche,mdg3,20240312-1051-51517
1,A3,23,0,pêche,mdg3,20240312-1051-51517
1,LG,24,0,pêche,mdg3,20240312-1051-51517
1,BK,25,0,pêche,mdg3,20240312-1051-51517
1,MR,26,82,pêche,mdg3,20240312-1051-51517
1,LO,27,58,pêche,mdg3,20240312-1051-51517
1,MC,28,0,pêche,mdg3,20240312-1051-51517
1,SC,29,0,pêche,mdg3,20240312-1051-51517
1,SR,30,67,pêche,mdg3,20240312-1051-51517
1,LP,31,0,pêche,mdg3,20240312-1051-51517
1,SH,32,0,pêche,mdg3,20240312-1051-51517
1,LC,33,0,pêche,mdg3,20240312-1051-51517
1,A2,34,0,pêche,mdg3,20240312-1051-51517
1,MB,35,0,pêche,mdg3,20240312-1051-51517
1,LH,36,0,pêche,mdg3,20240312-1051-51517
1,DB,37,0,pêche,mdg3,20240312-1051-51517
2,BK,1,100,triste,mdg3,20240312-1051-51517
2,DO,2,0,triste,mdg3,20240312-1051-51517
2,LG,3,0,triste,mdg3,20240312-1051-51517
2,LB,4,0,triste,mdg3,20240312-1051-51517
2,MY,5,1,triste,mdg3,20240312-1051-51517
2,LP,6,0,triste,mdg3,20240312-1051-51517
2,DB,7,0,triste,mdg3,20240312-1051-51517
2,SC,8,0,triste,mdg3,20240312-1051-51517
2,SO,9,0,triste,mdg3,20240312-1051-51517
2,SP,10,73,triste,mdg3,20240312-1051-51517
2,DP,11,78,triste,mdg3,20240312-1051-51517
2,WH,12,0,triste,mdg3,20240312-1051-51517
2,MP,13,58,triste,mdg3,20240312-1051-51517
2,DG,14,0,triste,mdg3,20240312-1051-51517
2,MG,15,0,triste,mdg3,20240312-1051-51517
2,LY,16,0,triste,mdg3,20240312-1051-51517
2,DR,17,0,triste,mdg3,20240312-1051-51517
2,A1,18,78,triste,mdg3,20240312-1051-51517
2,LC,19,0,triste,mdg3,20240312-1051-51517
2,SB,20,0,triste,mdg3,20240312-1051-51517
2,MB,21,0,triste,mdg3,20240312-1051-51517
2,DH,22,0,triste,mdg3,20240312-1051-51517
2,SG,23,0,triste,mdg3,20240312-1051-51517
2,SR,24,0,triste,mdg3,20240312-1051-51517
2,DC,25,0,triste,mdg3,20240312-1051-51517
2,LH,26,0,triste,mdg3,20240312-1051-51517
2,LR,27,0,triste,mdg3,20240312-1051-51517
2,MR,28,0,triste,mdg3,20240312-1051-51517
2,LO,29,0,triste,mdg3,20240312-1051-51517
2,A3,30,0,triste,mdg3,20240312-1051-51517
2,DY,31,0,triste,mdg3,20240312-1051-51517
2,SH,32,0,triste,mdg3,20240312-1051-51517
2,MC,33,0,triste,mdg3,20240312-1051-51517
2,MO,34,0,triste,mdg3,20240312-1051-51517
2,A2,35,39,triste,mdg3,20240312-1051-51517
2,SY,36,0,triste,mdg3,20240312-1051-51517
2,MH,37,0,triste,mdg3,20240312-1051-51517
3,SC,1,59,heureux,mdg3,20240312-1051-51517
3,LY,2,80,heureux,mdg3,20240312-1051-51517
3,BK,3,0,heureux,mdg3,20240312-1051-51517
3,DP,4,0,heureux,mdg3,20240312-1051-51517
3,A1,5,0,heureux,mdg3,20240312-1051-51517
3,SY,6,100,heureux,mdg3,20240312-1051-51517
3,SP,7,0,heureux,mdg3,20240312-1051-51517
3,WH,8,0,heureux,mdg3,20240312-1051-51517
3,SB,9,0,heureux,mdg3,20240312-1051-51517
3,LR,10,0,heureux,mdg3,20240312-1051-51517
3,LO,11,0,heureux,mdg3,20240312-1051-51517
3,LC,12,0,heureux,mdg3,20240312-1051-51517
3,MH,13,0,heureux,mdg3,20240312-1051-51517
3,MP,14,0,heureux,mdg3,20240312-1051-51517
3,SO,15,60,heureux,mdg3,20240312-1051-51517
3,A2,16,0,heureux,mdg3,20240312-1051-51517
3,LG,17,0,heureux,mdg3,20240312-1051-51517
3,SG,18,0,heureux,mdg3,20240312-1051-51517
3,MG,19,0,heureux,mdg3,20240312-1051-51517
3,DG,20,0,heureux,mdg3,20240312-1051-51517
3,LH,21,66,heureux,mdg3,20240312-1051-51517
3,MB,22,0,heureux,mdg3,20240312-1051-51517
3,DC,23,0,heureux,mdg3,20240312-1051-51517
3,MC,24,0,heureux,mdg3,20240312-1051-51517
3,MY,25,0,heureux,mdg3,20240312-1051-51517
3,MO,26,0,heureux,mdg3,20240312-1051-51517
3,MR,27,0,heureux,mdg3,20240312-1051-51517
3,LP,28,0,heureux,mdg3,20240312-1051-51517
3,DH,29,0,heureux,mdg3,20240312-1051-51517
3,DO,30,0,heureux,mdg3,20240312-1051-51517
3,A3,31,0,heureux,mdg3,20240312-1051-51517
3,DR,32,0,heureux,mdg3,20240312-1051-51517
3,DY,33,0,heureux,mdg3,20240312-1051-51517
3,SH,34,0,heureux,mdg3,20240312-1051-51517
3,SR,35,0,heureux,mdg3,20240312-1051-51517
3,DB,36,0,heureux,mdg3,20240312-1051-51517
3,LB,37,0,heureux,mdg3,20240312-1051-51517
4,DB,1,0,mort,mdg3,20240312-1051-51517
4,WH,2,73,mort,mdg3,20240312-1051-51517
4,LR,3,0,mort,mdg3,20240312-1051-51517
4,SO,4,0,mort,mdg3,20240312-1051-51517
4,A1,5,90,mort,mdg3,20240312-1051-51517
4,LH,6,0,mort,mdg3,20240312-1051-51517
4,LC,7,0,mort,mdg3,20240312-1051-51517
4,SB,8,0,mort,mdg3,20240312-1051-51517
4,LO,9,0,mort,mdg3,20240312-1051-51517
4,SG,10,0,mort,mdg3,20240312-1051-51517
4,DY,11,0,mort,mdg3,20240312-1051-51517
4,MO,12,0,mort,mdg3,20240312-1051-51517
4,BK,13,100,mort,mdg3,20240312-1051-51517
4,MR,14,0,mort,mdg3,20240312-1051-51517
4,MH,15,0,mort,mdg3,20240312-1051-51517
4,DC,16,0,mort,mdg3,20240312-1051-51517
4,LP,17,0,mort,mdg3,20240312-1051-51517
4,DP,18,0,mort,mdg3,20240312-1051-51517
4,DO,19,0,mort,mdg3,20240312-1051-51517
4,DG,20,0,mort,mdg3,20240312-1051-51517
4,DH,21,0,mort,mdg3,20240312-1051-51517
4,MY,22,0,mort,mdg3,20240312-1051-51517
4,SR,23,0,mort,mdg3,20240312-1051-51517
4,DR,24,0,mort,mdg3,20240312-1051-51517
4,LG,25,0,mort,mdg3,20240312-1051-51517
4,SP,26,0,mort,mdg3,20240312-1051-51517
4,LY,27,0,mort,mdg3,20240312-1051-51517
4,LB,28,0,mort,mdg3,20240312-1051-51517
4,SY,29,0,mort,mdg3,20240312-1051-51517
4,MB,30,0,mort,mdg3,20240312-1051-51517
4,MC,31,0,mort,mdg3,20240312-1051-51517
4,SH,32,0,mort,mdg3,20240312-1051-51517
4,A3,33,0,mort,mdg3,20240312-1051-51517
4,A2,34,40,mort,mdg3,20240312-1051-51517
4,MP,35,0,mort,mdg3,20240312-1051-51517
4,SC,36,0,mort,mdg3,20240312-1051-51517
4,MG,37,0,mort,mdg3,20240312-1051-51517
5,MC,1,0,tempête de sable,mdg3,20240312-1051-51517
5,A2,2,59,tempête de sable,mdg3,20240312-1051-51517
5,WH,3,0,tempête de sable,mdg3,20240312-1051-51517
5,MB,4,0,tempête de sable,mdg3,20240312-1051-51517
5,SO,5,0,tempête de sable,mdg3,20240312-1051-51517
5,LB,6,0,tempête de sable,mdg3,20240312-1051-51517
5,LP,7,0,tempête de sable,mdg3,20240312-1051-51517
5,LY,8,0,tempête de sable,mdg3,20240312-1051-51517
5,LH,9,0,tempête de sable,mdg3,20240312-1051-51517
5,MH,10,0,tempête de sable,mdg3,20240312-1051-51517
5,LR,11,0,tempête de sable,mdg3,20240312-1051-51517
5,DP,12,0,tempête de sable,mdg3,20240312-1051-51517
5,DO,13,57,tempête de sable,mdg3,20240312-1051-51517
5,SG,14,0,tempête de sable,mdg3,20240312-1051-51517
5,MG,15,0,tempête de sable,mdg3,20240312-1051-51517
5,SH,16,0,tempête de sable,mdg3,20240312-1051-51517
5,SR,17,0,tempête de sable,mdg3,20240312-1051-51517
5,DB,18,0,tempête de sable,mdg3,20240312-1051-51517
5,A3,19,75,tempête de sable,mdg3,20240312-1051-51517
5,MY,20,100,tempête de sable,mdg3,20240312-1051-51517
5,DC,21,0,tempête de sable,mdg3,20240312-1051-51517
5,MR,22,0,tempête de sable,mdg3,20240312-1051-51517
5,SC,23,0,tempête de sable,mdg3,20240312-1051-51517
5,DG,24,0,tempête de sable,mdg3,20240312-1051-51517
5,DH,25,0,tempête de sable,mdg3,20240312-1051-51517
5,DR,26,0,tempête de sable,mdg3,20240312-1051-51517
5,SP,27,0,tempête de sable,mdg3,20240312-1051-51517
5,LC,28,0,tempête de sable,mdg3,20240312-1051-51517
5,DY,29,73,tempête de sable,mdg3,20240312-1051-51517
5,LG,30,0,tempête de sable,mdg3,20240312-1051-51517
5,LO,31,100,tempête de sable,mdg3,20240312-1051-51517
5,A1,32,0,tempête de sable,mdg3,20240312-1051-51517
5,SB,33,0,tempête de sable,mdg3,20240312-1051-51517
5,MP,34,0,tempête de sable,mdg3,20240312-1051-51517
5,BK,35,0,tempête de sable,mdg3,20240312-1051-51517
5,MO,36,81,tempête de sable,mdg3,20240312-1051-51517
5,SY,37,0,tempête de sable,mdg3,20240312-1051-51517
6,SR,1,100,sécurité,mdg3,20240312-1051-51517
