concept_a,concept_b,color_a,color_b,deltaS_mg,deltaS_us,mg_level,us_level,category
sad,sandstorm,DB,LG,0.07631339353197619,0.671763664200411,low,high,MG_low__US_high
sad,sandstorm,DY,LH,0.05971889315675116,0.08750426254486054,low,low,MG_low__US_low
sad,sick,BK,SG,0.37266725598023087,0.6838524572176323,high,high,MG_high__US_high
sad,sick,LG,SO,0.35058292375391886,0.09842708942904665,high,low,MG_high__US_low
sad,sick,A3,SH,0.05189886328293025,0.6472209925189898,low,high,MG_low__US_high
sad,sick,MG,SR,0.05350778797221012,0.007155937280377556,low,low,MG_low__US_low
sad,tree,DP,MG,0.8501021826495856,0.8816868128654249,high,high,MG_high__US_high
sad,tree,DP,LB,0.4603768069259091,0.03353429395057628,high,low,MG_high__US_low
sad,tree,LR,MB,0.04867523122248252,0.6409603318562525,low,high,MG_low__US_high
sad,tree,DR,LP,0.03702612919995296,0.07342779024474888,low,low,MG_low__US_low
safety,sandstorm,DR,LO,0.4296644040397799,0.6061991555696788,high,high,MG_high__US_high
safety,sandstorm,DG,LG,0.0553770198400132,0.11831324664355436,low,low,MG_low__US_low
safety,sick,BK,SG,0.3460736741253143,0.6074259113765414,high,high,MG_high__US_high
safety,sick,A2,MY,0.38660879220478805,0.04064017426746114,high,low,MG_high__US_low
safety,sick,DY,MR,0.006351587265726266,0.7413988096688124,low,high,MG_low__US_high
safety,sick,SG,SY,0.00573457456972859,0.04078014252605633,low,low,MG_low__US_low
safety,tree,DG,DR,0.6470784282110851,0.6867417719019113,high,high,MG_high__US_high
safety,tree,A2,A3,0.4219482054822876,0.13302296018100734,high,low,MG_high__US_low
safety,tree,DH,MH,0.07957008464402454,0.08081513915079563,low,low,MG_low__US_low
sandstorm,sick,DR,MO,0.47458185037683487,0.6274207289618723,high,high,MG_high__US_high
sandstorm,sick,MP,SY,0.44824962527676493,0.12251792593077632,high,low,MG_high__US_low
sandstorm,sick,LR,MH,0.008591752056007707,0.7016832355449041,low,high,MG_low__US_high
sandstorm,sick,DB,LP,0.07773265656405681,0.12490494947198383,low,low,MG_low__US_low
sandstorm,tree,DH,MY,0.5490215249361199,0.9808530185173627,high,high,MG_high__US_high
sandstorm,tree,MH,SG,0.5164039076652496,0.14289899443216014,high,low,MG_high__US_low
sandstorm,tree,LB,MH,0.04470894589667007,0.8002321854382233,low,high,MG_low__US_high
sandstorm,tree,MR,SY,0.036046128626142815,0.05631840579326641,low,low,MG_low__US_low
sick,tree,LR,SG,0.6356329722263112,0.5964386957448333,high,high,MG_high__US_high
sick,tree,SP,SY,0.3779208922996393,0.037542974941140006,high,low,MG_high__US_low
sick,tree,DC,DO,0.04240750177813868,0.019108134249147257,low,low,MG_low__US_low
