concept_a,concept_b,category,color_a,color_b,deltaS_mg,deltaS_us
banana,peace,MG_low__US_low,DB,MP,0.07707696971643285,0.093665515438421
death,justice,MG_high__US_low,DB,MP,0.46847932955784155,0.054604255634776555
death,peace,MG_high__US_low,DB,MP,0.3785507658610521,0.13188780634851716
death,safety,MG_high__US_low,DB,MP,0.5030663416410033,0.0051947101121136985
justice,safety,MG_low__US_low,DB,MP,0.06066293130021605,0.04935736206715302
lightning,peace,MG_low__US_low,DB,MP,0.032478981958324715,0.06949626775371276
mango,peach,MG_low__US_low,DB,MP,0.06972118611587752,0.004633939650978469
peace,peach,MG_low__US_low,DB,MP,0.03832594301867709,0.0878245545562073
peace,sandstorm,MG_low__US_low,DB,MP,0.03558133613876002,0.02773648574045917
peace,tree,MG_low__US_low,DB,MP,0.036219938406927776,0.025269102905279173
peach,tree,MG_low__US_low,DB,MP,0.00510228543490876,0.13757173692604402
banana,mango,MG_low__US_high,DB,MR,0.03366210521661217,0.6893264861102897
banana,sick,MG_low__US_low,DB,MR,0.007840914405696786,0.12553026231706532
death,lightning,MG_low__US_low,DB,MR,0.047494407716354825,0.08148619781181288
death,mango,MG_low__US_high,DB,MR,0.028092956069006636,0.6940765859577014
death,peace,MG_low__US_low,DB,MR,0.021614231683581897,0.12935399057938174
justice,mango,MG_low__US_high,DB,MR,0.042245237070662967,0.7332946505737166
justice,peace,MG_low__US_low,DB,MR,0.0012534579682408342,0.05265589883568422
lightning,mango,MG_low__US_high,DB,MR,0.020548683079250285,0.6842891638988222
mango,peace,MG_low__US_high,DB,MR,0.04337729438648674,0.658666095836062
mango,sad,MG_low__US_high,DB,MR,0.05837295614096649,0.8022262856929585
mango,tree,MG_low__US_high,DB,MR,0.03874714627064635,0.5938015294989019
sad,sandstorm,MG_low__US_high,DB,MR,0.045661595510475494,0.6648806409666972
sandstorm,sick,MG_low__US_low,DB,MR,0.01891078036144478,0.1388345094645192
sick,tree,MG_low__US_low,DB,MR,0.07205277464952276,0.08233527926933348
angry,banana,MG_high__US_high,DB,MY,0.5048793866209806,0.6999121015396941
angry,peace,MG_low__US_low,DB,MY,0.0664868527335798,0.14256723782010483
angry,sandstorm,MG_high__US_high,DB,MY,0.4778113064689524,0.9342196008329162
banana,death,MG_high__US_high,DB,MY,0.4764658122349532,0.7411597784321793
banana,justice,MG_high__US_high,DB,MY,0.5035220057342429,0.6664671730458211
banana,peace,MG_high__US_high,DB,MY,0.40926015921297565,0.6137691006782475
banana,sad,MG_high__US_high,DB,MY,0.44759776690127784,0.8054211013001815
banana,safety,MG_high__US_high,DB,MY,0.5073770943412241,0.6345425128505742
banana,sick,MG_high__US_low,DB,MY,0.4607043937454294,0.1320817872778451
death,peace,MG_low__US_low,DB,MY,0.008792437423507549,0.005961182438560864
death,sandstorm,MG_high__US_high,DB,MY,0.4476553756302426,0.9324801478516178
death,sick,MG_low__US_high,DB,MY,0.05469670342256405,0.5971087942000775
happy,sandstorm,MG_high__US_high,DB,MY,0.5083582595723126,0.6923191916384557
justice,safety,MG_low__US_low,DB,MY,0.02855344704449525,0.036179635903560214
justice,sandstorm,MG_high__US_high,DB,MY,0.4809353437353818,0.8613690118555195
lightning,sandstorm,MG_high__US_high,DB,MY,0.4470178861759839,0.7407631787545248
mango,peach,MG_low__US_low,DB,MY,0.03958196628819538,0.03178078287524122
mango,tree,MG_low__US_high,DB,MY,2.597579610422174e-4,0.6175593771725869
peace,sandstorm,MG_high__US_high,DB,MY,0.38806977661807185,0.8210131362912585
