country,concept_a,concept_b,color_1,color_2,A_to_C1,A_to_C2,B_to_C1,B_to_C2,mu_D,semantic_distance
usa,lightning,sick,A1,A2,0.3756,0.3102,0.4512,0.4422,0.0564,0.0648
usa,lightning,tree,A1,A2,0.3756,0.3102,0.0992,0.0934,0.0596,0.0948
usa,mango,peace,A1,A2,0.0426,0.0432,0.1886,0.2364,0.0472,0.1048
usa,mango,peach,A1,A2,0.0426,0.0432,0.0288,0.0424,0.013,0.0924
usa,mango,sad,A1,A2,0.0426,0.0432,0.7964,0.7026,-0.0944,0.1875
usa,mango,safety,A1,A2,0.0426,0.0432,0.223,0.2158,-0.0078,0.017
usa,mango,sandstorm,A1,A2,0.0426,0.0432,0.3454,0.4254,0.0794,0.127
usa,mango,sick,A1,A2,0.0426,0.0432,0.4512,0.4422,-0.0096,0.0147
usa,mango,tree,A1,A2,0.0426,0.0432,0.0992,0.0934,-0.0064,0.0255
usa,peace,peach,A1,A2,0.1886,0.2364,0.0288,0.0424,-0.0342,0.0767
usa,peace,sad,A1,A2,0.1886,0.2364,0.7964,0.7026,-0.1416,0.2139
usa,peace,safety,A1,A2,0.1886,0.2364,0.223,0.2158,-0.055,0.088
usa,peace,sandstorm,A1,A2,0.1886,0.2364,0.3454,0.4254,0.0322,0.0428
usa,peace,sick,A1,A2,0.1886,0.2364,0.4512,0.4422,-0.0568,0.0729
usa,peace,tree,A1,A2,0.1886,0.2364,0.0992,0.0934,-0.0536,0.1087
usa,peach,sad,A1,A2,0.0288,0.0424,0.7964,0.7026,-0.1074,0.214
usa,peach,safety,A1,A2,0.0288,0.0424,0.223,0.2158,-0.0208,0.0457
usa,peach,sandstorm,A1,A2,0.0288,0.0424,0.3454,0.4254,0.0664,0.1068
usa,peach,sick,A1,A2,0.0288,0.0424,0.4512,0.4422,-0.0226,0.0347
usa,peach,tree,A1,A2,0.0288,0.0424,0.0992,0.0934,-0.0194,0.0793
usa,sad,safety,A1,A2,0.7964,0.7026,0.223,0.2158,0.0866,0.1305
usa,sad,sandstorm,A1,A2,0.7964,0.7026,0.3454,0.4254,0.1738,0.219
usa,sad,sick,A1,A2,0.7964,0.7026,0.4512,0.4422,0.0848,0.1047
usa,sad,tree,A1,A2,0.7964,0.7026,0.0992,0.0934,0.088,0.1626
usa,safety,sandstorm,A1,A2,0.223,0.2158,0.3454,0.4254,0.0872,0.1146
usa,safety,sick,A1,A2,0.223,0.2158,0.4512,0.4422,-0.0018,0.0023
usa,safety,tree,A1,A2,0.223,0.2158,0.0992,0.0934,0.0014,0.0028
usa,sandstorm,sick,A1,A2,0.3454,0.4254,0.4512,0.4422,-0.089,0.0998
usa,sandstorm,tree,A1,A2,0.3454,0.4254,0.0992,0.0934,-0.0858,0.1306
usa,sick,tree,A1,A2,0.4512,0.4422,0.0992,0.0934,0.0032,0.0047
usa,angry,banana,A1,A3,0.3736,0.1376,0.0524,0.0678,0.2514,0.4668
usa,angry,death,A1,A3,0.3736,0.1376,0.775,0.4332,-0.1058,0.143
usa,angry,happy,A1,A3,0.3736,0.1376,0.1012,0.3008,0.4356,0.605
usa,angry,justice,A1,A3,0.3736,0.1376,0.302,0.4376,0.3716,0.4557
usa,angry,lightning,A1,A3,0.3736,0.1376,0.3756,0.51,0.3704,0.4406
usa,angry,mango,A1,A3,0.3736,0.1376,0.0426,0.0602,0.2536,0.4748
usa,angry,peace,A1,A3,0.3736,0.1376,0.1886,0.5726,0.62,0.7204
usa,angry,peach,A1,A3,0.3736,0.1376,0.0288,0.0976,0.3048,0.5439
usa,angry,sad,A1,A3,0.3736,0.1376,0.7964,0.4174,-0.143,0.1956
usa,angry,safety,A1,A3,0.3736,0.1376,0.223,0.3274,0.3404,0.4536
usa,angry,sandstorm,A1,A3,0.3736,0.1376,0.3454,0.3636,0.2542,0.322
usa,angry,sick,A1,A3,0.3736,0.1376,0.4512,0.242,0.0268,0.0359
usa,angry,tree,A1,A3,0.3736,0.1376,0.0992,0.1328,0.2696,0.4588
usa,banana,death,A1,A3,0.0524,0.0678,0.775,0.4332,-0.3572,0.5644
usa,banana,happy,A1,A3,0.0524,0.0678,0.1012,0.3008,0.1842,0.3942
