concept_a,concept_b,category,color_a,color_b,deltaS_mg,deltaS_us,extremeness
lightning,peace,MG_high__US_high,BK,MG,0.3748917070606088,0.8643468677270991,1.239238574787708
lightning,peace,MG_high__US_high,BK,DG,0.39538146201997937,0.8247180790726631,1.2200995410926425
lightning,peace,MG_high__US_low,A3,DR,0.5624116436984066,0.04188904602626886,0.5205225976721377
lightning,peace,MG_high__US_low,A3,SR,0.5486984623673596,0.03825271024217458,0.5104457521251851
lightning,peace,MG_high__US_low,A3,DO,0.49531785252408755,0.04092970278595742,0.45438814973813013
lightning,peace,MG_high__US_low,A3,DY,0.46333637857417487,0.08846768580644859,0.3748686927677263
lightning,peace,MG_high__US_low,SH,SR,0.3694307826929528,0.004038633698898009,0.3653921489940548
lightning,peace,MG_low__US_high,LR,SY,0.006703397098466901,0.7705938364549705,0.7638904393565036
lightning,peace,MG_low__US_high,SB,SY,0.0713669848977212,0.8275763007287944,0.7562093158310732
lightning,peace,MG_low__US_high,LP,SY,0.0797580379034537,0.8162634023953359,0.7365053644918822
lightning,peace,MG_low__US_high,BK,DP,0.009244513085969741,0.743043336221084,0.7337988231351142
lightning,peace,MG_low__US_high,MB,SY,0.06767495664839812,0.7769196257323854,0.7092446690839873
lightning,peace,MG_low__US_low,DC,LP,0.005827351863434804,0.01225876580495222,-0.018086117668387025
lightning,peace,MG_low__US_low,LB,MG,0.019120172625638476,0.012856029107629785,-0.03197620173326826
lightning,peace,MG_low__US_low,LB,LC,0.027590786181870053,0.01375322729273426,-0.04134401347460431
lightning,peace,MG_low__US_low,LC,MG,0.048477071424052776,0.0012512453536894785,-0.049728316777742254
lightning,peace,MG_low__US_low,LB,MC,0.0200685581637412,0.030168341591926273,-0.050236899755667475
lightning,peach,MG_high__US_high,SG,WH,0.6094262817486218,0.9700537982416584,1.5794800799902802
lightning,peach,MG_high__US_high,DG,WH,0.5767989303893613,0.9795990530382614,1.5563979834276227
lightning,peach,MG_high__US_high,MG,WH,0.5119579737786615,0.9734448267491154,1.4854028005277768
lightning,peach,MG_high__US_high,DH,WH,0.45306308052565303,0.9778684764832257,1.4309315570088788
lightning,peach,MG_high__US_high,LG,WH,0.46916494530851466,0.9431015969872323,1.412266542295747
lightning,peach,MG_high__US_low,SG,SR,0.44367228246097973,0.06426312332334971,0.37940915913763
lightning,peach,MG_high__US_low,DR,SG,0.41833431448494673,0.07513083811683607,0.34320347636811066
lightning,peach,MG_high__US_low,DC,SG,0.45576362518465285,0.13081468746072966,0.3249489377239232
